Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
33_GTCCGC_L002_R1_combined	(1.0, 36.66131407475045)	(2.0, 11.63045765633595)	(3.0, 6.620977206509505)	(4.0, 4.546748001636837)	(5.0, 3.3840923322007783)	(6.0, 2.6069785097199083)	(7.0, 2.091648149193386)	(8.0, 1.701658905513509)	(9.0, 1.391064575191938)	('>10', 15.947208418868119)	('>50', 4.3444822579797195)	('>100', 6.501947922987828)	('>500', 1.4357182801684423)	('>1k', 1.1120518504979657)	('>5k', 0.023651858445608184)	('>10k+', 0.0)
33_GTCCGC_L002_R2_combined	(1.0, 38.14845588954397)	(2.0, 12.811509217237473)	(3.0, 7.187146842852115)	(4.0, 4.669554208358593)	(5.0, 3.231902052887282)	(6.0, 2.4957543840579017)	(7.0, 1.965521489900837)	(8.0, 1.6533230136296615)	(9.0, 1.3927102275991814)	('>10', 14.710917227179433)	('>50', 4.00532940148184)	('>100', 5.733218565435444)	('>500', 1.148997602346371)	('>1k', 0.7979644737147191)	('>5k', 0.0)	('>10k+', 0.04769540377531387)
37_CGTACG_L002_R1_combined	(1.0, 33.48808454526751)	(2.0, 11.315145341994999)	(3.0, 6.5605367774757966)	(4.0, 4.582023453894153)	(5.0, 3.5232104472068047)	(6.0, 2.724225838287276)	(7.0, 2.200046412828873)	(8.0, 1.7788698021320357)	(9.0, 1.5279362782902783)	('>10', 17.37547686282945)	('>50', 4.624239157261192)	('>100', 7.151319677441426)	('>500', 1.7296763955718706)	('>1k', 1.3963640497666034)	('>5k', 0.022844959751786728)	('>10k+', 0.0)
37_CGTACG_L002_R2_combined	(1.0, 35.07138753518292)	(2.0, 12.450808460546094)	(3.0, 7.203706036812517)	(4.0, 4.744421690190847)	(5.0, 3.543164738563257)	(6.0, 2.553518470831573)	(7.0, 2.153129125481623)	(8.0, 1.733718816809364)	(9.0, 1.503822102231629)	('>10', 15.877842953495607)	('>50', 4.346997464541041)	('>100', 6.573517321322045)	('>500', 1.3410679627083792)	('>1k', 0.8553557091219719)	('>5k', 0.0)	('>10k+', 0.047541612161010646)
41_GTCCGC_L001_R1_combined	(1.0, 35.03420304225567)	(2.0, 11.461309940413924)	(3.0, 6.49507588539696)	(4.0, 4.414720222537661)	(5.0, 3.2900778895088703)	(6.0, 2.502616565841311)	(7.0, 2.0922011178095596)	(8.0, 1.6694942711586613)	(9.0, 1.4139864183780742)	('>10', 15.693098967616207)	('>50', 4.337208945983672)	('>100', 7.467247492182534)	('>500', 2.1101597031710173)	('>1k', 1.9581832849332164)	('>5k', 0.06041625281272209)	('>10k+', 0.0)
41_GTCCGC_L001_R2_combined	(1.0, 36.14924318469216)	(2.0, 12.413962315292416)	(3.0, 6.988816289165754)	(4.0, 4.493575743208031)	(5.0, 3.219992948545727)	(6.0, 2.4522422532846146)	(7.0, 1.8807949703610938)	(8.0, 1.5912079472079)	(9.0, 1.3324589796622461)	('>10', 14.641668143372973)	('>50', 4.145133524597959)	('>100', 7.233362712723047)	('>500', 1.8722396346135337)	('>1k', 1.4611270358063726)	('>5k', 0.05285768839483412)	('>10k+', 0.07131662907123726)
45_CGTACG_L001_R1_combined	(1.0, 33.34762935827589)	(2.0, 11.156169718647343)	(3.0, 6.475471865736009)	(4.0, 4.5175675042013825)	(5.0, 3.3155942157400338)	(6.0, 2.5920668490850822)	(7.0, 2.1419958069078664)	(8.0, 1.7838927468680064)	(9.0, 1.4929474837699321)	('>10', 16.898604623250318)	('>50', 4.729568005593863)	('>100', 7.8008263115863885)	('>500', 2.0414045311080224)	('>1k', 1.6566572277335836)	('>5k', 0.049603751496199736)	('>10k+', 0.0)
45_CGTACG_L001_R2_combined	(1.0, 34.05425886967851)	(2.0, 12.03350238785514)	(3.0, 7.02409444231429)	(4.0, 4.570393110098396)	(5.0, 3.3567777072357767)	(6.0, 2.5798653307449246)	(7.0, 2.120734269941548)	(8.0, 1.7040262300806983)	(9.0, 1.4667448036810768)	('>10', 15.878370636494033)	('>50', 4.458111766713963)	('>100', 7.71707159522623)	('>500', 1.772610139402981)	('>1k', 1.1451635276567624)	('>5k', 0.045195372937945774)	('>10k+', 0.07307980993774706)
5_ACAGTG_L001_R1_combined	(1.0, 31.72727278398782)	(2.0, 10.356219096016565)	(3.0, 6.161321159128595)	(4.0, 4.378800401738763)	(5.0, 3.274336508580599)	(6.0, 2.6568250494490235)	(7.0, 2.1808415591716073)	(8.0, 1.7991366812963805)	(9.0, 1.542999734682963)	('>10', 17.64381419652652)	('>50', 4.743704865272899)	('>100', 8.464277711946403)	('>500', 2.4386708219510282)	('>1k', 2.4864617119183077)	('>5k', 0.14531771833248486)	('>10k+', 0.0)
5_ACAGTG_L001_R2_combined	(1.0, 33.22882016565764)	(2.0, 11.535174091280828)	(3.0, 6.773102251986858)	(4.0, 4.63184750568343)	(5.0, 3.381749474223186)	(6.0, 2.744072554206791)	(7.0, 2.1486291888718)	(8.0, 1.7828296391891305)	(9.0, 1.4983506713089692)	('>10', 16.054083032671258)	('>50', 4.433463507363346)	('>100', 7.842036978276691)	('>500', 2.10266865062538)	('>1k', 1.740876880690999)	('>5k', 0.02906427568956911)	('>10k+', 0.07323113227406605)
9_GATCAG_L001_R1_combined	(1.0, 35.95610662817378)	(2.0, 11.015183531121835)	(3.0, 6.246120693580785)	(4.0, 4.307177057694734)	(5.0, 3.1174422014182097)	(6.0, 2.4226189909941143)	(7.0, 2.045816538371863)	(8.0, 1.7464461486731828)	(9.0, 1.4097808282766906)	('>10', 15.767800060192894)	('>50', 4.464072196541286)	('>100', 7.523578194689989)	('>500', 1.9849671798376514)	('>1k', 1.9011299311873435)	('>5k', 0.09175981924592298)	('>10k+', 0.0)
9_GATCAG_L001_R2_combined	(1.0, 37.41793419676407)	(2.0, 12.03292680672513)	(3.0, 6.592667006568437)	(4.0, 4.519212327833873)	(5.0, 3.2218874270407003)	(6.0, 2.373372326440088)	(7.0, 1.8906363974569012)	(8.0, 1.679329974552311)	(9.0, 1.380634184563124)	('>10', 14.396087868467758)	('>50', 4.246908762689844)	('>100', 6.966307378412761)	('>500', 1.873484123733159)	('>1k', 1.3381967330339133)	('>5k', 0.0)	('>10k+', 0.07041448571790802)
