Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
29_AGTCAA_L002_R1_combined	(1, 34.01291071072928)	(2, 33.989034604001034)	(3, 33.97558888641974)	(4, 35.81544269212186)	(5, 36.21643129549988)	(6, 36.92625566202887)	(7, 36.980023624149844)	(8, 36.948108865472484)	(9, 36.93655924907458)	(10, 36.95209209464881)	(12, 36.91382207560749)	(14, 38.25327344216268)	(16, 38.232224972872835)	(18, 38.223425796596416)	(20, 38.22618422619749)	(22, 38.23643678764935)	(24, 38.19394577004828)	(26, 38.133431145429455)	(28, 38.07346161746932)	(30, 38.0132160612261)	(32, 37.95823219503292)	(34, 37.93198416007425)	(36, 37.862091142500525)	(38, 37.84037573698831)	(40, 37.84192159833081)	(42, 37.78578879143554)	(44, 37.796926311300105)	(46, 37.723184691399354)	(48, 37.64968942751343)	(50, 37.57788673899589)	(52, 37.499379373931205)	(54, 37.377620363980924)	(56, 37.26783284789695)	(58, 37.1916948371324)	(60, 37.09870378106651)	(62, 36.90887922344894)	(64, 36.81161202494101)	(66, 36.67189383859571)	(68, 36.53716186998629)	(70, 36.37967182759593)	(72, 36.241519991078135)	(74, 36.10177742446524)	(76, 35.97019574060252)	(78, 35.86445600786626)	(80, 35.74626073823121)	(82, 35.66995385704894)	(84, 35.60388563809502)	(86, 35.537617785108694)	(88, 35.51117516102096)	(90, 35.43550247566792)	(92, 35.3808113991918)	(94, 35.30342964472514)	(96, 35.20900464180527)	(98, 35.091141923962226)	(100, 34.380492149471465)
29_AGTCAA_L002_R2_combined	(1, 32.65248737209214)	(2, 32.8112988291047)	(3, 32.80432648440001)	(4, 35.144171724062154)	(5, 35.22919185343242)	(6, 35.93950773768743)	(7, 35.79269890880182)	(8, 35.85742604830621)	(9, 35.93418048448534)	(10, 35.912204947283435)	(12, 35.8950121843682)	(14, 37.21925417631513)	(16, 37.14037019377206)	(18, 37.16400692498439)	(20, 37.23603309242444)	(22, 37.25049771575013)	(24, 37.163787214295795)	(26, 37.01936738394622)	(28, 37.04654028353263)	(30, 37.03929322839714)	(32, 36.99773214091861)	(34, 37.06508295962611)	(36, 36.984024273686295)	(38, 36.91687018561785)	(40, 36.8330901964473)	(42, 36.82230722003504)	(44, 36.70998053202686)	(46, 36.60053829324619)	(48, 36.57643841931524)	(50, 36.54044054237529)	(52, 36.51271993101702)	(54, 36.40065825487033)	(56, 36.27612778093605)	(58, 36.175892552536595)	(60, 36.0036182870457)	(62, 35.901292780162635)	(64, 35.80970120087644)	(66, 35.65329080898505)	(68, 35.49875384709915)	(70, 35.32713673689557)	(72, 35.18408963504222)	(74, 35.02396749154886)	(76, 34.930965954438875)	(78, 34.784111000722675)	(80, 34.74432959041315)	(82, 34.60556797951662)	(84, 34.5864926234041)	(86, 34.488267325680674)	(88, 34.43331304938998)	(90, 34.41244362269032)	(92, 34.35237883871844)	(94, 34.26782267572449)	(96, 34.1694146907256)	(98, 33.98370045266579)	(100, 32.97738542797995)
33_GTCCGC_L002_R1_combined	(1, 33.92867880926007)	(2, 33.91542622839113)	(3, 33.89777128855278)	(4, 35.839889469915136)	(5, 36.22188759796208)	(6, 36.884606868737926)	(7, 36.93803407461474)	(8, 36.903713848687346)	(9, 36.893781036594)	(10, 36.90749591199029)	(12, 36.86719561156313)	(14, 38.24424797335185)	(16, 38.22124978487784)	(18, 38.21006526948538)	(20, 38.213953424515125)	(22, 38.22414229396165)	(24, 38.183621889361184)	(26, 38.12053930320809)	(28, 38.05919821929364)	(30, 37.99786202556267)	(32, 37.94150236262441)	(34, 37.91487859671847)	(36, 37.844084558573016)	(38, 37.82198297261075)	(40, 37.82238201617351)	(42, 37.7650201870447)	(44, 37.77533982872144)	(46, 37.69556670201068)	(48, 37.61887012058412)	(50, 37.54331462788413)	(52, 37.461277392144595)	(54, 37.334982916959085)	(56, 37.22101503311274)	(58, 37.14272471104755)	(60, 37.04447412941418)	(62, 36.852084141093684)	(64, 36.750016438363204)	(66, 36.60637120193455)	(68, 36.465623800986705)	(70, 36.30676490532513)	(72, 36.16497520654023)	(74, 36.02240358348971)	(76, 35.88708715601807)	(78, 35.776178460748405)	(80, 35.65435136330969)	(82, 35.57517871898683)	(84, 35.50557758714582)	(86, 35.43471954040173)	(88, 35.40723797203127)	(90, 35.327501372465576)	(92, 35.27019099357692)	(94, 35.195158245418696)	(96, 35.09732298500105)	(98, 34.98015441867795)	(100, 34.27297410489439)
33_GTCCGC_L002_R2_combined	(1, 32.56559366092634)	(2, 32.71168630790873)	(3, 32.66901925051717)	(4, 35.11231070857427)	(5, 35.1685311045974)	(6, 35.78488151797172)	(7, 35.70951217366405)	(8, 35.71427760005775)	(9, 35.81225451508573)	(10, 35.820378280716184)	(12, 35.784658038883066)	(14, 37.150155218555845)	(16, 37.06861225868437)	(18, 37.08393065508622)	(20, 37.15707537917059)	(22, 37.16951653396285)	(24, 37.08365836599731)	(26, 36.940914048298666)	(28, 36.96878219370784)	(30, 36.95407991450582)	(32, 36.91176352689031)	(34, 36.97753160436037)	(36, 36.89136664051834)	(38, 36.82733306291155)	(40, 36.74583234687849)	(42, 36.72692120385389)	(44, 36.61412896143891)	(46, 36.50240486825341)	(48, 36.47006555692715)	(50, 36.42710251716339)	(52, 36.39062539890581)	(54, 36.27466721038772)	(56, 36.14515412205274)	(58, 36.03670057438764)	(60, 35.861336804429946)	(62, 35.74941673656797)	(64, 35.653965452070594)	(66, 35.49320588214226)	(68, 35.33396493228772)	(70, 35.161728652765014)	(72, 35.01496487975842)	(74, 34.84848317528934)	(76, 34.74935878904181)	(78, 34.60039415797102)	(80, 34.55305383003761)	(82, 34.41315704551002)	(84, 34.38778456964825)	(86, 34.28861277387553)	(88, 34.228451900155406)	(90, 34.20369235024697)	(92, 34.138136020016965)	(94, 34.050083330563)	(96, 33.94751285727956)	(98, 33.75970269796702)	(100, 32.75520104301874)
37_CGTACG_L002_R1_combined	(1, 33.951304120597115)	(2, 33.93196893265944)	(3, 33.91677443972549)	(4, 35.86995455349667)	(5, 36.2476426766637)	(6, 36.91091262351233)	(7, 36.961459791585305)	(8, 36.92827723997694)	(9, 36.91817953896341)	(10, 36.93188968256751)	(12, 36.893108340256845)	(14, 38.28229871332747)	(16, 38.260047456292185)	(18, 38.249598551810564)	(20, 38.252487001598865)	(22, 38.26307506255621)	(24, 38.22064049076353)	(26, 38.16084823281264)	(28, 38.09918034858626)	(30, 38.03931051197027)	(32, 37.981707313593105)	(34, 37.95308580045447)	(36, 37.88108548166037)	(38, 37.85679345322492)	(40, 37.85583264777655)	(42, 37.79834871181911)	(44, 37.80556328307367)	(46, 37.7257943150289)	(48, 37.6472580446589)	(50, 37.56982832000404)	(52, 37.48568096782952)	(54, 37.35947723475883)	(56, 37.24370212483194)	(58, 37.162039898996895)	(60, 37.06444693708994)	(62, 36.8733185649863)	(64, 36.770576365046146)	(66, 36.62843527134595)	(68, 36.489857150078635)	(70, 36.33186300088789)	(72, 36.193549005827165)	(74, 36.054533724909234)	(76, 35.92195947075288)	(78, 35.8146581891354)	(80, 35.69556751871387)	(82, 35.61899937382643)	(84, 35.553722797528245)	(86, 35.48526188812529)	(88, 35.45696332726456)	(90, 35.382601771549375)	(92, 35.32559360112581)	(94, 35.25126724729046)	(96, 35.15660855672701)	(98, 35.040735627563706)	(100, 34.33474325660805)
37_CGTACG_L002_R2_combined	(1, 32.572795449153155)	(2, 32.73748411125343)	(3, 32.717360580580305)	(4, 35.18323037072247)	(5, 35.233272482525436)	(6, 35.880390005030584)	(7, 35.730976594316985)	(8, 35.77333185486797)	(9, 35.85866121156432)	(10, 35.855722945103004)	(12, 35.82518102367963)	(14, 37.19280232646309)	(16, 37.1054333805953)	(18, 37.123620502129235)	(20, 37.1968304243712)	(22, 37.21045422451094)	(24, 37.12238908859948)	(26, 36.97617682717528)	(28, 37.00097796814831)	(30, 36.98950089156354)	(32, 36.945911873408576)	(34, 37.01029692693908)	(36, 36.92105017378762)	(38, 36.8508796597138)	(40, 36.768626258360186)	(42, 36.75110165373417)	(44, 36.63402537878201)	(46, 36.51728402107791)	(48, 36.482644127951396)	(50, 36.43736743750698)	(52, 36.401373158678744)	(54, 36.28179404433928)	(56, 36.151371426102145)	(58, 36.0391258193049)	(60, 35.863701073056035)	(62, 35.753485067635715)	(64, 35.659239137967724)	(66, 35.49800558011964)	(68, 35.339018562621845)	(70, 35.166066060495865)	(72, 35.020897666280476)	(74, 34.86057181550383)	(76, 34.76122811551924)	(78, 34.613375430188576)	(80, 34.566800917572564)	(82, 34.428057426964756)	(84, 34.40486375017632)	(86, 34.30752580316136)	(88, 34.24748111899173)	(90, 34.22065188500257)	(92, 34.155879794243276)	(94, 34.06733974889461)	(96, 33.96317165879737)	(98, 33.775156339558926)	(100, 32.75697504763566)
41_GTCCGC_L001_R1_combined	(1, 34.10352131159334)	(2, 34.0530762663202)	(3, 34.04062369612422)	(4, 36.196052526453684)	(5, 36.40028329597196)	(6, 37.08844657836393)	(7, 37.08103571614349)	(8, 37.05965576997887)	(9, 37.06311342484243)	(10, 37.05852496931598)	(12, 37.01915618183268)	(14, 38.29094445313848)	(16, 38.282125509507765)	(18, 38.27942947529522)	(20, 38.272619981635096)	(22, 38.262210938888174)	(24, 38.233042530056224)	(26, 38.156454628387735)	(28, 38.119898991715566)	(30, 38.0639823565724)	(32, 38.00537641477049)	(34, 37.96541379974306)	(36, 37.91570273938516)	(38, 37.88328973687921)	(40, 37.855475325201375)	(42, 37.81096501570884)	(44, 37.77196589191776)	(46, 37.70207063113645)	(48, 37.62049655678959)	(50, 37.530893740574)	(52, 37.42677330293827)	(54, 37.31479424700051)	(56, 37.20994690377087)	(58, 37.10431445940829)	(60, 36.99021483893467)	(62, 36.83504310669113)	(64, 36.714687872502566)	(66, 36.55600473092137)	(68, 36.41514213188617)	(70, 36.25442533433194)	(72, 36.098379635685816)	(74, 35.98924574140347)	(76, 35.85889679198135)	(78, 35.738674503929744)	(80, 35.640475346966994)	(82, 35.54580907914607)	(84, 35.44661215559926)	(86, 35.376746201449436)	(88, 35.32899125431196)	(90, 35.237967253346)	(92, 35.18281221686837)	(94, 35.106788660228766)	(96, 34.985568319782004)	(98, 34.857964256286735)	(100, 33.86423569954006)
41_GTCCGC_L001_R2_combined	(1, 33.06338037241891)	(2, 33.18212926022895)	(3, 33.16758974128071)	(4, 35.56818685785114)	(5, 35.581659114144735)	(6, 36.315125919800614)	(7, 36.36531989100659)	(8, 36.329415859693654)	(9, 36.34599549834311)	(10, 36.36778298916472)	(12, 36.319503468713556)	(14, 37.58635481479374)	(16, 37.55418945662163)	(18, 37.53368486194422)	(20, 37.492570472115545)	(22, 37.47217299064786)	(24, 37.42040655267259)	(26, 37.39775476905517)	(28, 37.352212879325755)	(30, 37.3213068708595)	(32, 37.281362195975575)	(34, 37.25444819922072)	(36, 37.223691098342634)	(38, 37.187807007850964)	(40, 37.15104934669516)	(42, 37.09891849955499)	(44, 37.010755753608485)	(46, 36.920950583127215)	(48, 36.824733526210395)	(50, 36.69566446092309)	(52, 36.60501049740235)	(54, 36.49746006262429)	(56, 36.374358689337086)	(58, 36.2444715227264)	(60, 36.111181357130526)	(62, 35.943111035461556)	(64, 35.80674123317293)	(66, 35.65618499858392)	(68, 35.50000356164614)	(70, 35.340423149064165)	(72, 35.19846299139669)	(74, 35.03473757021774)	(76, 34.90837014543784)	(78, 34.79280086225255)	(80, 34.6865632678288)	(82, 34.58480191509273)	(84, 34.4999882817445)	(86, 34.40914157160846)	(88, 34.32314863765056)	(90, 34.258060719734814)	(92, 34.16385419007661)	(94, 34.058986070577845)	(96, 33.941403797761296)	(98, 33.78484790429883)	(100, 32.654516103543294)
45_CGTACG_L001_R1_combined	(1, 34.13650412274005)	(2, 34.08918181523365)	(3, 34.07922054924969)	(4, 36.23510315063007)	(5, 36.43558766636462)	(6, 37.13088735515228)	(7, 37.12341487695079)	(8, 37.10366322352588)	(9, 37.106808535779635)	(10, 37.10259295537603)	(12, 37.06552116753734)	(14, 38.35699433245804)	(16, 38.347713712990426)	(18, 38.34823229478792)	(20, 38.340803611593074)	(22, 38.331169469216746)	(24, 38.301364510711096)	(26, 38.22874188901506)	(28, 38.19229828646185)	(30, 38.13905119140763)	(32, 38.0811558794807)	(34, 38.04207569944758)	(36, 37.99368234362031)	(38, 37.96137780145187)	(40, 37.93114939984394)	(42, 37.88755947275451)	(44, 37.84987628385052)	(46, 37.780812528315465)	(48, 37.700746168232115)	(50, 37.61285840372199)	(52, 37.51116428972448)	(54, 37.40034284932548)	(56, 37.29557876229365)	(58, 37.19226944121915)	(60, 37.079139748833)	(62, 36.92691410430735)	(64, 36.80890003516674)	(66, 36.652805944177956)	(68, 36.51385651237653)	(70, 36.353147920555315)	(72, 36.19793963998016)	(74, 36.09177719124847)	(76, 35.96039063206041)	(78, 35.84398740525613)	(80, 35.748361820048785)	(82, 35.65528305048056)	(84, 35.55855078211303)	(86, 35.49221486298362)	(88, 35.44385556056786)	(90, 35.35608633988409)	(92, 35.303273568155255)	(94, 35.229663165582366)	(96, 35.11408320899446)	(98, 34.989758842384745)	(100, 34.01395696466909)
45_CGTACG_L001_R2_combined	(1, 33.06670888305696)	(2, 33.20079493946484)	(3, 33.20117726544485)	(4, 35.622944897700386)	(5, 35.62169240689892)	(6, 36.377369785342054)	(7, 36.364593451396125)	(8, 36.37319679805998)	(9, 36.3761982214715)	(10, 36.389469858598005)	(12, 36.347349267687186)	(14, 37.612522487375884)	(16, 37.5760394123853)	(18, 37.558746858072)	(20, 37.517182571282646)	(22, 37.4984877333286)	(24, 37.44631217156645)	(26, 37.41727350970568)	(28, 37.37117345610161)	(30, 37.34062465722553)	(32, 37.30127057390098)	(34, 37.27266355748125)	(36, 37.23934620570563)	(38, 37.20102730391993)	(40, 37.163346750728905)	(42, 37.11123775653341)	(44, 37.02315125926564)	(46, 36.93109114004454)	(48, 36.83216587414643)	(50, 36.70234334703243)	(52, 36.61372627020174)	(54, 36.50750965229717)	(56, 36.38225667129526)	(58, 36.25133361804656)	(60, 36.11842654767695)	(62, 35.95463429819967)	(64, 35.817671434889306)	(66, 35.6665318517056)	(68, 35.510155275543966)	(70, 35.35119679713221)	(72, 35.209958111562685)	(74, 35.04998800434315)	(76, 34.923961156928705)	(78, 34.808235856585)	(80, 34.69985938787612)	(82, 34.59897705238646)	(84, 34.515089941701824)	(86, 34.42572628335922)	(88, 34.33904107870411)	(90, 34.27461640993206)	(92, 34.18184034672656)	(94, 34.07978653170917)	(96, 33.964305825528704)	(98, 33.81120286812803)	(100, 32.69291738380902)
5_ACAGTG_L001_R1_combined	(1, 34.16204497286321)	(2, 34.12355592116956)	(3, 34.10690985862221)	(4, 36.2480108138036)	(5, 36.455025744759325)	(6, 37.168882804826474)	(7, 37.169102625137896)	(8, 37.14589701636294)	(9, 37.14676495959329)	(10, 37.141673625827494)	(12, 37.10047771375901)	(14, 38.39295814024915)	(16, 38.38617502127089)	(18, 38.390961196994226)	(20, 38.38929503327546)	(22, 38.379135808401905)	(24, 38.35101454457553)	(26, 38.28191910556051)	(28, 38.250705428314916)	(30, 38.2037364288294)	(32, 38.155407109597334)	(34, 38.12467929253528)	(36, 38.08721768291396)	(38, 38.06774266449574)	(40, 38.054208988028066)	(42, 38.02828766231468)	(44, 38.01007810359307)	(46, 37.96243082045389)	(48, 37.906807404926404)	(50, 37.84568696853306)	(52, 37.76872377403069)	(54, 37.68544302528269)	(56, 37.60996440468419)	(58, 37.52669533691639)	(60, 37.43024762185129)	(62, 37.29232003997437)	(64, 37.180839024431975)	(66, 37.02841849332786)	(68, 36.8821953778906)	(70, 36.70425194538757)	(72, 36.52856943822232)	(74, 36.39600524195587)	(76, 36.23515461401341)	(78, 36.08735944845438)	(80, 35.9630133563838)	(82, 35.84855324705225)	(84, 35.733866054623654)	(86, 35.654092969062674)	(88, 35.595825536430354)	(90, 35.50217502272344)	(92, 35.448319510436605)	(94, 35.36968194123285)	(96, 35.25270999749474)	(98, 35.12911140745966)	(100, 34.18913647456074)
5_ACAGTG_L001_R2_combined	(1, 33.22730614525676)	(2, 33.34544556160882)	(3, 33.31490881633178)	(4, 35.74575105858126)	(5, 35.79069878448002)	(6, 36.54027115771506)	(7, 36.5879487629842)	(8, 36.58589819616211)	(9, 36.58050206749315)	(10, 36.57809911434768)	(12, 36.54270616798928)	(14, 37.82581106452303)	(16, 37.81533259987268)	(18, 37.79669025982575)	(20, 37.76349039228282)	(22, 37.7386823103841)	(24, 37.711787710874475)	(26, 37.70387883995076)	(28, 37.654802361648066)	(30, 37.63661283611012)	(32, 37.62464314000242)	(34, 37.57735457794964)	(36, 37.578536919099705)	(38, 37.55938771731415)	(40, 37.53906618088315)	(42, 37.49602866847437)	(44, 37.44114853853184)	(46, 37.37956768187902)	(48, 37.31727206624919)	(50, 37.218909215139405)	(52, 37.157199242297786)	(54, 37.08371905786015)	(56, 36.99303357638246)	(58, 36.885620447065605)	(60, 36.77391821917788)	(62, 36.62279766617647)	(64, 36.49721468136606)	(66, 36.351909582031126)	(68, 36.19226546417532)	(70, 36.02311799133622)	(72, 35.867495378750036)	(74, 35.68487559998175)	(76, 35.535583997969)	(78, 35.40202576844408)	(80, 35.277580640221814)	(82, 35.16286221781506)	(84, 35.068899464849714)	(86, 34.97256034860403)	(88, 34.884583946685666)	(90, 34.82335462903123)	(92, 34.73510534811763)	(94, 34.63806275038705)	(96, 34.533576543849335)	(98, 34.39584475456808)	(100, 33.36166273649093)
9_GATCAG_L001_R1_combined	(1, 34.049066439215736)	(2, 34.0142759207509)	(3, 33.99801456128594)	(4, 36.26403375591317)	(5, 36.455813836341186)	(6, 37.109470924721926)	(7, 37.10639605093431)	(8, 37.08333009111607)	(9, 37.084841590271765)	(10, 37.079693700349324)	(12, 37.041819244910386)	(14, 38.386017085558635)	(16, 38.37693572262964)	(18, 38.38018845519288)	(20, 38.37911091242203)	(22, 38.36610388785163)	(24, 38.33933416424226)	(26, 38.269776336080184)	(28, 38.239283745886084)	(30, 38.18719022742138)	(32, 38.136257147336515)	(34, 38.103202354265335)	(36, 38.06358971986292)	(38, 38.03997491149748)	(40, 38.0226106723978)	(42, 37.99052801874087)	(44, 37.96945465805474)	(46, 37.91457886652185)	(48, 37.8504863150641)	(50, 37.779486063247724)	(52, 37.69388138772507)	(54, 37.59690061054331)	(56, 37.513680604595656)	(58, 37.42039653093268)	(60, 37.31519253938518)	(62, 37.16737347003022)	(64, 37.0473024727327)	(66, 36.887176622627095)	(68, 36.735808414452606)	(70, 36.55607921745744)	(72, 36.37610671646712)	(74, 36.24183683550382)	(76, 36.08128882117036)	(78, 35.933804388695336)	(80, 35.810587063648256)	(82, 35.69409419735244)	(84, 35.581466805128116)	(86, 35.4990613092519)	(88, 35.440245810642196)	(90, 35.34549132259982)	(92, 35.289533656994244)	(94, 35.20933487177169)	(96, 35.08738519108377)	(98, 34.96341492053864)	(100, 34.01331855282844)
9_GATCAG_L001_R2_combined	(1, 33.07506686854038)	(2, 33.18692496647998)	(3, 33.19729981136054)	(4, 35.69327873589679)	(5, 35.68459480120602)	(6, 36.41434109557701)	(7, 36.452303478946696)	(8, 36.445824302068296)	(9, 36.433152415106356)	(10, 36.430781014837535)	(12, 36.3981186176828)	(14, 37.72804013699732)	(16, 37.71218203925802)	(18, 37.692689929212506)	(20, 37.656786391360114)	(22, 37.63294577946183)	(24, 37.60352277045487)	(26, 37.590927094375964)	(28, 37.54047341179049)	(30, 37.517859935312885)	(32, 37.5031150071797)	(34, 37.45449519278074)	(36, 37.449206172520704)	(38, 37.42448575555004)	(40, 37.39874643111996)	(42, 37.35158784273178)	(44, 37.290601034975836)	(46, 37.22126563042899)	(48, 37.14893226399751)	(50, 37.04116601950007)	(52, 36.970377425635434)	(54, 36.88485133945635)	(56, 36.7825295413562)	(58, 36.664485593314)	(60, 36.5395246313624)	(62, 36.37985309225658)	(64, 36.24476391926434)	(66, 36.09281589248277)	(68, 35.92742012491074)	(70, 35.7570053799776)	(72, 35.59796428313375)	(74, 35.4174178220602)	(76, 35.267886987171984)	(78, 35.1358243426273)	(80, 35.01141846329317)	(82, 34.897910014175125)	(84, 34.801467169658494)	(86, 34.70271731856265)	(88, 34.61449410820273)	(90, 34.55342104995663)	(92, 34.46508434947427)	(94, 34.367650012385525)	(96, 34.26181239894985)	(98, 34.12416618058444)	(100, 33.08644221910669)
