Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
13_AGTCAA_L001_combined	(1, 71.4889)	(2, 42.0733)	(3, 45.1827)	(4, 44.6494)	(5, 45.0441)	(6, 42.0907)	(7, 44.2459)	(8, 47.9513)	(9, 46.9007)	(10, 42.3718)	(11, 51.565799999999996)	(12, 50.2079)	(13, 48.050599999999996)	(14, 46.9906)	(15, 46.5741)	(16, 48.1976)	(17, 48.0644)	(18, 46.9255)	(19, 48.105199999999996)	(20, 47.8302)	(21, 46.7737)	(22, 47.5358)	(23, 47.2949)	(24, 46.4869)	(25, 47.5639)	(26, 47.300399999999996)	(27, 46.3996)	(28, 47.5207)	(29, 47.3571)	(30, 46.5074)	(31, 47.424699999999994)	(32, 47.179)	(33, 46.5469)	(34, 47.6225)	(35, 47.3717)	(36, 46.6535)	(37, 47.403099999999995)	(38, 47.3244)	(39, 46.3374)	(40, 47.3504)	(41, 47.111999999999995)	(42, 46.3292)	(43, 47.2248)	(44, 47.0805)	(45, 46.3538)	(46, 47.3783)	(47, 47.0443)	(48, 46.2756)	(49, 47.3982)	(50, 47.146300000000004)	(51, 46.531)	(52, 47.3867)	(53, 47.0293)	(54, 46.312999999999995)	(55, 47.2421)	(56, 46.9028)	(57, 46.4104)	(58, 47.1787)	(59, 47.030899999999995)	(60, 46.279900000000005)	(61, 47.2828)	(62, 46.9526)	(63, 46.160000000000004)	(64, 47.1672)	(65, 46.855799999999995)	(66, 46.2522)	(67, 47.1372)	(68, 46.9863)	(69, 46.119)	(70, 47.1592)	(71, 46.753299999999996)	(72, 46.189)	(73, 47.0783)	(74, 46.7488)	(75, 46.1335)	(76, 46.8434)	(77, 46.8717)	(78, 46.1263)	(79, 47.1437)	(80, 46.9225)	(81, 46.1775)	(82, 47.0133)	(83, 46.7468)	(84, 46.2078)	(85, 47.1105)	(86, 46.8443)	(87, 46.1608)	(88, 47.0857)	(89, 46.766400000000004)	(90, 46.164500000000004)	(91, 46.9978)	(92, 46.72)	(93, 46.208)	(94, 47.0547)	(95, 46.8852)	(96, 46.1182)	(97, 47.280100000000004)	(98, 46.9265)	(99, 46.1998)	(100, 47.281600000000005)	(101, 46.8254)
17_ATCACG_L002_combined	(1, 71.95009999999999)	(2, 41.1532)	(3, 45.0235)	(4, 44.438)	(5, 44.8183)	(6, 41.7161)	(7, 44.056400000000004)	(8, 47.3163)	(9, 46.3733)	(10, 42.0953)	(11, 51.3162)	(12, 50.0757)	(13, 48.0426)	(14, 46.9068)	(15, 46.403299999999994)	(16, 48.1215)	(17, 47.8955)	(18, 46.7882)	(19, 47.970400000000005)	(20, 47.7176)	(21, 46.6428)	(22, 47.4952)	(23, 47.0996)	(24, 46.305099999999996)	(25, 47.3595)	(26, 47.0953)	(27, 46.268)	(28, 47.292)	(29, 47.3117)	(30, 46.3647)	(31, 47.2949)	(32, 47.0891)	(33, 46.2802)	(34, 47.543800000000005)	(35, 47.259499999999996)	(36, 46.489200000000004)	(37, 47.3722)	(38, 47.2629)	(39, 46.1273)	(40, 47.1753)	(41, 46.990500000000004)	(42, 46.2173)	(43, 47.1096)	(44, 46.9371)	(45, 46.2086)	(46, 47.165600000000005)	(47, 46.9233)	(48, 46.1003)	(49, 47.2976)	(50, 46.997499999999995)	(51, 46.406)	(52, 47.2695)	(53, 46.9551)	(54, 46.1469)	(55, 47.1699)	(56, 46.845)	(57, 46.2344)	(58, 47.1051)	(59, 46.9692)	(60, 46.0977)	(61, 47.190799999999996)	(62, 46.8982)	(63, 46.0858)	(64, 47.0547)	(65, 46.8195)	(66, 46.1823)	(67, 47.14)	(68, 46.9777)	(69, 45.9799)	(70, 47.0485)	(71, 46.7234)	(72, 46.1611)	(73, 47.0512)	(74, 46.7067)	(75, 46.0655)	(76, 46.7745)	(77, 46.8201)	(78, 46.0278)	(79, 47.1283)	(80, 46.8688)	(81, 46.1075)	(82, 47.0064)	(83, 46.714299999999994)	(84, 46.158500000000004)	(85, 47.0291)	(86, 46.7787)	(87, 46.109899999999996)	(88, 47.0218)	(89, 46.6825)	(90, 46.0255)	(91, 46.9878)	(92, 46.6688)	(93, 46.1214)	(94, 47.0136)	(95, 46.8316)	(96, 46.0446)	(97, 47.187400000000004)	(98, 46.8789)	(99, 46.137699999999995)	(100, 47.2346)	(101, 46.7995)
1_ATCACG_L001_combined	(1, 69.7398)	(2, 37.9591)	(3, 41.7643)	(4, 41.2808)	(5, 41.6267)	(6, 38.5251)	(7, 40.6135)	(8, 44.3044)	(9, 43.5302)	(10, 38.920300000000005)	(11, 48.1925)	(12, 46.9292)	(13, 44.4972)	(14, 43.5415)	(15, 43.301)	(16, 44.6742)	(17, 44.6551)	(18, 43.6727)	(19, 44.5767)	(20, 44.386900000000004)	(21, 43.4884)	(22, 44.0448)	(23, 43.6997)	(24, 43.187599999999996)	(25, 43.9077)	(26, 43.8056)	(27, 43.1214)	(28, 43.9011)	(29, 43.9563)	(30, 43.183899999999994)	(31, 43.8548)	(32, 43.6713)	(33, 43.1766)	(34, 44.0738)	(35, 43.8798)	(36, 43.3403)	(37, 43.8069)	(38, 43.8642)	(39, 43.038199999999996)	(40, 43.7979)	(41, 43.537)	(42, 42.9887)	(43, 43.6159)	(44, 43.5954)	(45, 42.959)	(46, 43.7671)	(47, 43.558099999999996)	(48, 42.917300000000004)	(49, 43.8594)	(50, 43.677)	(51, 43.271100000000004)	(52, 43.815)	(53, 43.5612)	(54, 42.9914)	(55, 43.6907)	(56, 43.439899999999994)	(57, 43.1227)	(58, 43.5969)	(59, 43.5558)	(60, 42.9622)	(61, 43.7146)	(62, 43.5004)	(63, 42.8128)	(64, 43.5467)	(65, 43.411699999999996)	(66, 42.96)	(67, 43.6267)	(68, 43.4838)	(69, 42.7863)	(70, 43.6099)	(71, 43.283300000000004)	(72, 43.028800000000004)	(73, 43.519999999999996)	(74, 43.3097)	(75, 42.8099)	(76, 43.2677)	(77, 43.4183)	(78, 42.8288)	(79, 43.6612)	(80, 43.478699999999996)	(81, 42.846000000000004)	(82, 43.519600000000004)	(83, 43.2695)	(84, 42.930800000000005)	(85, 43.567699999999995)	(86, 43.4197)	(87, 42.8746)	(88, 43.4829)	(89, 43.3371)	(90, 42.8245)	(91, 43.4174)	(92, 43.156800000000004)	(93, 42.9531)	(94, 43.491600000000005)	(95, 43.3205)	(96, 42.7545)	(97, 43.689699999999995)	(98, 43.4703)	(99, 42.8684)	(100, 43.723800000000004)	(101, 43.3725)
21_ACAGTG_L002_combined	(1, 71.7686)	(2, 42.826)	(3, 45.9678)	(4, 45.433299999999996)	(5, 45.6888)	(6, 42.615700000000004)	(7, 44.8425)	(8, 48.405100000000004)	(9, 47.3688)	(10, 42.9168)	(11, 52.1162)	(12, 50.8511)	(13, 48.7263)	(14, 47.5792)	(15, 47.0574)	(16, 48.7842)	(17, 48.5159)	(18, 47.3647)	(19, 48.6721)	(20, 48.3845)	(21, 47.3647)	(22, 48.2126)	(23, 47.8956)	(24, 47.0964)	(25, 48.142)	(26, 47.8475)	(27, 47.0009)	(28, 48.0735)	(29, 48.0345)	(30, 47.0684)	(31, 48.034)	(32, 47.774499999999996)	(33, 47.021)	(34, 48.2908)	(35, 47.9838)	(36, 47.1682)	(37, 48.112899999999996)	(38, 47.9859)	(39, 46.8529)	(40, 47.9195)	(41, 47.7724)	(42, 46.963100000000004)	(43, 47.8721)	(44, 47.698499999999996)	(45, 46.9651)	(46, 47.9414)	(47, 47.6643)	(48, 46.8302)	(49, 48.0464)	(50, 47.7072)	(51, 47.153099999999995)	(52, 48.0072)	(53, 47.6892)	(54, 46.8655)	(55, 47.8924)	(56, 47.5832)	(57, 46.9704)	(58, 47.8812)	(59, 47.7238)	(60, 46.8197)	(61, 47.9239)	(62, 47.6427)	(63, 46.838)	(64, 47.8257)	(65, 47.5562)	(66, 46.907199999999996)	(67, 47.8927)	(68, 47.703)	(69, 46.7339)	(70, 47.8138)	(71, 47.469699999999996)	(72, 46.8519)	(73, 47.7873)	(74, 47.4763)	(75, 46.8183)	(76, 47.5578)	(77, 47.5693)	(78, 46.7352)	(79, 47.9023)	(80, 47.604800000000004)	(81, 46.880500000000005)	(82, 47.7599)	(83, 47.475699999999996)	(84, 46.8829)	(85, 47.765)	(86, 47.5519)	(87, 46.823)	(88, 47.782799999999995)	(89, 47.4479)	(90, 46.806)	(91, 47.7715)	(92, 47.4873)	(93, 46.8825)	(94, 47.8142)	(95, 47.633700000000005)	(96, 46.7972)	(97, 47.9848)	(98, 47.6413)	(99, 46.9109)	(100, 48.004799999999996)	(101, 47.556599999999996)
25_GATCAG_L002_combined	(1, 72.2953)	(2, 44.4596)	(3, 47.2051)	(4, 46.7524)	(5, 46.7584)	(6, 43.8278)	(7, 46.2167)	(8, 49.761300000000006)	(9, 48.5149)	(10, 44.186)	(11, 53.3651)	(12, 52.014)	(13, 50.071799999999996)	(14, 48.8419)	(15, 48.2035)	(16, 50.0341)	(17, 49.7329)	(18, 48.4508)	(19, 49.898900000000005)	(20, 49.5909)	(21, 48.423300000000005)	(22, 49.5231)	(23, 49.0664)	(24, 48.236000000000004)	(25, 49.471199999999996)	(26, 49.1045)	(27, 48.1205)	(28, 49.363299999999995)	(29, 49.2942)	(30, 48.186)	(31, 49.3412)	(32, 49.0275)	(33, 48.1293)	(34, 49.5957)	(35, 49.1908)	(36, 48.2746)	(37, 49.4437)	(38, 49.2106)	(39, 47.9869)	(40, 49.226)	(41, 49.0071)	(42, 48.0673)	(43, 49.2184)	(44, 48.938199999999995)	(45, 48.0888)	(46, 49.2423)	(47, 48.9244)	(48, 47.937400000000004)	(49, 49.3969)	(50, 48.9407)	(51, 48.2894)	(52, 49.3137)	(53, 48.9845)	(54, 48.0066)	(55, 49.2726)	(56, 48.8788)	(57, 48.1097)	(58, 49.1864)	(59, 49.0063)	(60, 48.0)	(61, 49.2399)	(62, 48.8947)	(63, 48.0174)	(64, 49.120200000000004)	(65, 48.8788)	(66, 48.053200000000004)	(67, 49.268)	(68, 48.9347)	(69, 47.8977)	(70, 49.1689)	(71, 48.7506)	(72, 48.0739)	(73, 49.1857)	(74, 48.7528)	(75, 48.028)	(76, 48.971599999999995)	(77, 48.8901)	(78, 47.949799999999996)	(79, 49.2172)	(80, 48.9003)	(81, 48.1007)	(82, 49.0951)	(83, 48.7597)	(84, 48.0923)	(85, 49.1704)	(86, 48.918499999999995)	(87, 48.0487)	(88, 49.1996)	(89, 48.7286)	(90, 48.0021)	(91, 49.113299999999995)	(92, 48.8348)	(93, 48.155)	(94, 49.1447)	(95, 48.9574)	(96, 48.039)	(97, 49.400800000000004)	(98, 48.9938)	(99, 48.1823)	(100, 49.4432)	(101, 48.923899999999996)
29_AGTCAA_L002_combined	(1, 72.1536)	(2, 43.3724)	(3, 46.7335)	(4, 46.261)	(5, 46.394999999999996)	(6, 43.551)	(7, 45.8744)	(8, 49.3467)	(9, 48.2588)	(10, 43.847500000000004)	(11, 52.9906)	(12, 51.73950000000001)	(13, 49.7206)	(14, 48.476)	(15, 47.9788)	(16, 49.792199999999994)	(17, 49.4465)	(18, 48.2709)	(19, 49.6047)	(20, 49.3189)	(21, 48.2085)	(22, 49.2294)	(23, 48.809799999999996)	(24, 48.0339)	(25, 49.1851)	(26, 48.7749)	(27, 47.8998)	(28, 49.0648)	(29, 48.991099999999996)	(30, 47.9842)	(31, 49.059599999999996)	(32, 48.7338)	(33, 47.9955)	(34, 49.3131)	(35, 48.883500000000005)	(36, 48.043200000000006)	(37, 49.187)	(38, 48.9048)	(39, 47.724)	(40, 48.910199999999996)	(41, 48.715)	(42, 47.841899999999995)	(43, 48.9024)	(44, 48.6363)	(45, 47.8731)	(46, 48.9592)	(47, 48.6222)	(48, 47.707699999999996)	(49, 49.1016)	(50, 48.620200000000004)	(51, 48.0218)	(52, 49.0466)	(53, 48.673899999999996)	(54, 47.7919)	(55, 48.9374)	(56, 48.5918)	(57, 47.8344)	(58, 48.8894)	(59, 48.6844)	(60, 47.7017)	(61, 48.9674)	(62, 48.5606)	(63, 47.7904)	(64, 48.850100000000005)	(65, 48.539)	(66, 47.8237)	(67, 48.9479)	(68, 48.6626)	(69, 47.6496)	(70, 48.8682)	(71, 48.430800000000005)	(72, 47.794599999999996)	(73, 48.8813)	(74, 48.4645)	(75, 47.786899999999996)	(76, 48.654799999999994)	(77, 48.5515)	(78, 47.672)	(79, 48.9651)	(80, 48.611399999999996)	(81, 47.819)	(82, 48.835499999999996)	(83, 48.4513)	(84, 47.854)	(85, 48.869)	(86, 48.6057)	(87, 47.7842)	(88, 48.9008)	(89, 48.4232)	(90, 47.7806)	(91, 48.8454)	(92, 48.5255)	(93, 47.9105)	(94, 48.8887)	(95, 48.669000000000004)	(96, 47.8264)	(97, 49.092999999999996)	(98, 48.701499999999996)	(99, 47.9218)	(100, 49.1588)	(101, 48.5972)
33_GTCCGC_L002_combined	(1, 72.428)	(2, 43.2048)	(3, 46.6633)	(4, 46.2275)	(5, 46.4911)	(6, 43.4347)	(7, 45.8686)	(8, 49.1043)	(9, 47.8783)	(10, 43.7891)	(11, 52.8833)	(12, 51.5355)	(13, 49.7412)	(14, 48.5541)	(15, 47.924299999999995)	(16, 49.8839)	(17, 49.556400000000004)	(18, 48.2782)	(19, 49.6762)	(20, 49.4074)	(21, 48.2138)	(22, 49.1989)	(23, 48.8123)	(24, 47.8356)	(25, 49.1585)	(26, 48.7572)	(27, 47.8199)	(28, 49.072500000000005)	(29, 49.025600000000004)	(30, 47.9401)	(31, 49.098000000000006)	(32, 48.8191)	(33, 47.930099999999996)	(34, 49.2927)	(35, 49.039300000000004)	(36, 48.038799999999995)	(37, 49.1914)	(38, 48.9536)	(39, 47.7443)	(40, 48.9741)	(41, 48.7261)	(42, 47.8324)	(43, 48.9626)	(44, 48.6705)	(45, 47.8144)	(46, 49.0285)	(47, 48.7217)	(48, 47.6819)	(49, 49.1226)	(50, 48.790800000000004)	(51, 48.025400000000005)	(52, 49.125600000000006)	(53, 48.8022)	(54, 47.7635)	(55, 49.0035)	(56, 48.6424)	(57, 47.869299999999996)	(58, 48.9747)	(59, 48.829)	(60, 47.7541)	(61, 49.0625)	(62, 48.6847)	(63, 47.741299999999995)	(64, 48.9353)	(65, 48.6545)	(66, 47.8451)	(67, 49.0145)	(68, 48.7648)	(69, 47.6545)	(70, 48.946600000000004)	(71, 48.5698)	(72, 47.8322)	(73, 48.8969)	(74, 48.525400000000005)	(75, 47.7446)	(76, 48.714)	(77, 48.654599999999995)	(78, 47.7577)	(79, 49.0309)	(80, 48.7014)	(81, 47.8456)	(82, 48.8729)	(83, 48.6419)	(84, 47.8529)	(85, 48.9611)	(86, 48.723499999999994)	(87, 47.8195)	(88, 48.9861)	(89, 48.5462)	(90, 47.8414)	(91, 48.884699999999995)	(92, 48.5963)	(93, 47.8732)	(94, 48.9043)	(95, 48.8012)	(96, 47.8234)	(97, 49.1353)	(98, 48.835899999999995)	(99, 47.8941)	(100, 49.2182)	(101, 48.7073)
37_CGTACG_L002_combined	(1, 72.9511)	(2, 43.762499999999996)	(3, 47.253499999999995)	(4, 46.698299999999996)	(5, 47.0073)	(6, 43.9874)	(7, 46.4436)	(8, 49.7397)	(9, 48.517500000000005)	(10, 44.344699999999996)	(11, 53.4573)	(12, 52.131899999999995)	(13, 50.3003)	(14, 49.093599999999995)	(15, 48.469899999999996)	(16, 50.4297)	(17, 50.0509)	(18, 48.8051)	(19, 50.202000000000005)	(20, 49.96)	(21, 48.775400000000005)	(22, 49.7878)	(23, 49.418)	(24, 48.4103)	(25, 49.7106)	(26, 49.3305)	(27, 48.3932)	(28, 49.647400000000005)	(29, 49.568400000000004)	(30, 48.4957)	(31, 49.602000000000004)	(32, 49.3673)	(33, 48.463699999999996)	(34, 49.8868)	(35, 49.5637)	(36, 48.5707)	(37, 49.7046)	(38, 49.5016)	(39, 48.261900000000004)	(40, 49.5205)	(41, 49.2688)	(42, 48.370200000000004)	(43, 49.515100000000004)	(44, 49.2247)	(45, 48.351)	(46, 49.5948)	(47, 49.2366)	(48, 48.2306)	(49, 49.6738)	(50, 49.288399999999996)	(51, 48.5389)	(52, 49.6546)	(53, 49.2977)	(54, 48.3024)	(55, 49.527300000000004)	(56, 49.1522)	(57, 48.4103)	(58, 49.5117)	(59, 49.3209)	(60, 48.2563)	(61, 49.580600000000004)	(62, 49.188500000000005)	(63, 48.263400000000004)	(64, 49.5084)	(65, 49.1566)	(66, 48.364000000000004)	(67, 49.5178)	(68, 49.314099999999996)	(69, 48.1948)	(70, 49.465900000000005)	(71, 49.0869)	(72, 48.308800000000005)	(73, 49.4296)	(74, 49.0754)	(75, 48.2781)	(76, 49.2436)	(77, 49.1833)	(78, 48.2752)	(79, 49.5618)	(80, 49.2087)	(81, 48.349199999999996)	(82, 49.4296)	(83, 49.1183)	(84, 48.4112)	(85, 49.485299999999995)	(86, 49.2276)	(87, 48.332300000000004)	(88, 49.512499999999996)	(89, 49.0706)	(90, 48.3265)	(91, 49.4278)	(92, 49.1081)	(93, 48.4261)	(94, 49.46)	(95, 49.3217)	(96, 48.3509)	(97, 49.721199999999996)	(98, 49.351)	(99, 48.4419)	(100, 49.760799999999996)	(101, 49.2494)
41_GTCCGC_L001_combined	(1, 73.44850000000001)	(2, 43.9545)	(3, 47.4417)	(4, 47.1371)	(5, 47.2448)	(6, 44.3157)	(7, 46.8257)	(8, 49.9773)	(9, 48.6933)	(10, 44.6387)	(11, 53.8146)	(12, 52.344199999999994)	(13, 50.7167)	(14, 49.415)	(15, 48.7681)	(16, 50.7262)	(17, 50.44070000000001)	(18, 49.1156)	(19, 50.576)	(20, 50.1471)	(21, 48.9086)	(22, 50.0975)	(23, 49.6167)	(24, 48.6869)	(25, 50.0528)	(26, 49.7442)	(27, 48.5849)	(28, 50.048700000000004)	(29, 49.8607)	(30, 48.7575)	(31, 50.0418)	(32, 49.677)	(33, 48.789100000000005)	(34, 50.225500000000004)	(35, 49.8385)	(36, 48.8739)	(37, 50.0543)	(38, 49.8618)	(39, 48.6229)	(40, 49.9779)	(41, 49.6038)	(42, 48.6713)	(43, 49.8803)	(44, 49.6304)	(45, 48.6583)	(46, 49.9627)	(47, 49.566900000000004)	(48, 48.5759)	(49, 50.0702)	(50, 49.664199999999994)	(51, 48.884699999999995)	(52, 50.04690000000001)	(53, 49.5664)	(54, 48.655)	(55, 49.9249)	(56, 49.5114)	(57, 48.7958)	(58, 49.863099999999996)	(59, 49.6608)	(60, 48.653600000000004)	(61, 49.9421)	(62, 49.5621)	(63, 48.6086)	(64, 49.8356)	(65, 49.5218)	(66, 48.6623)	(67, 49.9266)	(68, 49.601600000000005)	(69, 48.506)	(70, 49.8987)	(71, 49.4249)	(72, 48.6871)	(73, 49.8181)	(74, 49.4277)	(75, 48.6158)	(76, 49.659)	(77, 49.58)	(78, 48.6143)	(79, 49.9166)	(80, 49.614999999999995)	(81, 48.6595)	(82, 49.7668)	(83, 49.4356)	(84, 48.6775)	(85, 49.905100000000004)	(86, 49.5465)	(87, 48.6842)	(88, 49.8672)	(89, 49.4806)	(90, 48.6292)	(91, 49.8009)	(92, 49.462)	(93, 48.7498)	(94, 49.8643)	(95, 49.6132)	(96, 48.6618)	(97, 50.1251)	(98, 49.7145)	(99, 48.7894)	(100, 50.1441)	(101, 49.717099999999995)
45_CGTACG_L001_combined	(1, 72.6644)	(2, 44.8692)	(3, 47.7149)	(4, 47.6927)	(5, 47.6198)	(6, 44.3572)	(7, 46.827600000000004)	(8, 50.1172)	(9, 48.8272)	(10, 44.6727)	(11, 53.8772)	(12, 52.429199999999994)	(13, 50.795500000000004)	(14, 49.5112)	(15, 48.7864)	(16, 50.771)	(17, 50.457499999999996)	(18, 49.100100000000005)	(19, 50.5618)	(20, 50.24079999999999)	(21, 48.9773)	(22, 50.094899999999996)	(23, 49.7252)	(24, 48.6831)	(25, 50.0509)	(26, 49.850699999999996)	(27, 48.631299999999996)	(28, 50.0615)	(29, 49.9706)	(30, 48.7856)	(31, 50.044599999999996)	(32, 49.7853)	(33, 48.7954)	(34, 50.2115)	(35, 49.884699999999995)	(36, 48.9086)	(37, 50.0345)	(38, 49.967600000000004)	(39, 48.6687)	(40, 49.9711)	(41, 49.730000000000004)	(42, 48.707499999999996)	(43, 49.8691)	(44, 49.7172)	(45, 48.706500000000005)	(46, 49.977199999999996)	(47, 49.6967)	(48, 48.656)	(49, 50.0586)	(50, 49.7678)	(51, 48.9176)	(52, 50.071600000000004)	(53, 49.6865)	(54, 48.6815)	(55, 49.9406)	(56, 49.5964)	(57, 48.8111)	(58, 49.899)	(59, 49.741)	(60, 48.6616)	(61, 49.9553)	(62, 49.684)	(63, 48.6713)	(64, 49.8592)	(65, 49.6338)	(66, 48.7205)	(67, 49.9274)	(68, 49.7081)	(69, 48.583)	(70, 49.912)	(71, 49.5513)	(72, 48.7151)	(73, 49.835499999999996)	(74, 49.5332)	(75, 48.6734)	(76, 49.6774)	(77, 49.6775)	(78, 48.6224)	(79, 49.9185)	(80, 49.7245)	(81, 48.6888)	(82, 49.7912)	(83, 49.5173)	(84, 48.6982)	(85, 49.8666)	(86, 49.6226)	(87, 48.676199999999994)	(88, 49.8662)	(89, 49.5376)	(90, 48.652)	(91, 49.7784)	(92, 49.5427)	(93, 48.7174)	(94, 49.858599999999996)	(95, 49.6916)	(96, 48.667100000000005)	(97, 50.06080000000001)	(98, 49.7913)	(99, 48.7798)	(100, 50.092099999999995)	(101, 49.7252)
