Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
13_AGTCAA_L001_combined	(1, 33.0587)	(2, 33.1842)	(3, 33.1994)	(4, 35.6854)	(5, 35.7199)	(6, 36.4388)	(7, 36.4314)	(8, 36.4484)	(9, 36.4355)	(10, 36.4453)	(11, 36.4302)	(12, 36.4112)	(13, 36.3993)	(14, 37.7463)	(15, 37.7462)	(16, 37.7362)	(17, 37.7052)	(18, 37.6976)	(19, 37.7217)	(20, 37.701)	(21, 37.6299)	(22, 37.654)	(23, 37.6432)	(24, 37.6176)	(25, 37.5952)	(26, 37.5965)	(27, 37.5765)	(28, 37.5522)	(29, 37.5371)	(30, 37.5316)	(31, 37.5078)	(32, 37.5135)	(33, 37.4647)	(34, 37.4707)	(35, 37.4525)	(36, 37.4372)	(37, 37.45)	(38, 37.4148)	(39, 37.4141)	(40, 37.3953)	(41, 37.3777)	(42, 37.3552)	(43, 37.3354)	(44, 37.2872)	(45, 37.2567)	(46, 37.2139)	(47, 37.1742)	(48, 37.1349)	(49, 37.0869)	(50, 37.002)	(51, 36.9861)	(52, 36.9432)	(53, 36.8822)	(54, 36.8382)	(55, 36.7926)	(56, 36.7271)	(57, 36.6749)	(58, 36.5964)	(59, 36.55)	(60, 36.4767)	(61, 36.4035)	(62, 36.3128)	(63, 36.2328)	(64, 36.1679)	(65, 36.0933)	(66, 36.0083)	(67, 35.9411)	(68, 35.8526)	(69, 35.7652)	(70, 35.6717)	(71, 35.6074)	(72, 35.5207)	(73, 35.4477)	(74, 35.3407)	(75, 35.2774)	(76, 35.2081)	(77, 35.1266)	(78, 35.0825)	(79, 35.0038)	(80, 34.9533)	(81, 34.8977)	(82, 34.8344)	(83, 34.801)	(84, 34.7527)	(85, 34.7046)	(86, 34.6728)	(87, 34.5969)	(88, 34.5599)	(89, 34.5335)	(90, 34.5053)	(91, 34.4639)	(92, 34.4251)	(93, 34.3663)	(94, 34.3139)	(95, 34.2756)	(96, 34.2227)	(97, 34.1539)	(98, 34.092)	(99, 34.0032)	(100, 33.8671)	(101, 32.1088)
17_ATCACG_L002_combined	(1, 32.6809)	(2, 32.7632)	(3, 32.7911)	(4, 35.4584)	(5, 35.5336)	(6, 36.0498)	(7, 35.9737)	(8, 36.0097)	(9, 36.0738)	(10, 36.0832)	(11, 36.033)	(12, 36.0129)	(13, 36.0419)	(14, 37.5548)	(15, 37.5248)	(16, 37.5003)	(17, 37.4659)	(18, 37.4895)	(19, 37.509)	(20, 37.5813)	(21, 37.5251)	(22, 37.5495)	(23, 37.5543)	(24, 37.51)	(25, 37.4719)	(26, 37.3313)	(27, 37.4116)	(28, 37.3293)	(29, 37.4382)	(30, 37.3699)	(31, 37.3852)	(32, 37.3798)	(33, 37.3354)	(34, 37.4002)	(35, 37.364)	(36, 37.3311)	(37, 37.2964)	(38, 37.2978)	(39, 37.2388)	(40, 37.2068)	(41, 37.1953)	(42, 37.1894)	(43, 37.1326)	(44, 37.0814)	(45, 37.059)	(46, 36.9738)	(47, 36.9723)	(48, 36.9265)	(49, 36.9723)	(50, 36.9025)	(51, 36.9088)	(52, 36.8504)	(53, 36.8808)	(54, 36.769)	(55, 36.7387)	(56, 36.7111)	(57, 36.5438)	(58, 36.5376)	(59, 36.4886)	(60, 36.3702)	(61, 36.3064)	(62, 36.2298)	(63, 36.1931)	(64, 36.1282)	(65, 36.0765)	(66, 35.9411)	(67, 35.9199)	(68, 35.8337)	(69, 35.6791)	(70, 35.5924)	(71, 35.5465)	(72, 35.4448)	(73, 35.3631)	(74, 35.2505)	(75, 35.1974)	(76, 35.1403)	(77, 35.0625)	(78, 34.9346)	(79, 34.9456)	(80, 34.8712)	(81, 34.8678)	(82, 34.7548)	(83, 34.701)	(84, 34.7132)	(85, 34.6742)	(86, 34.6378)	(87, 34.5546)	(88, 34.5568)	(89, 34.5104)	(90, 34.5112)	(91, 34.5028)	(92, 34.4588)	(93, 34.4176)	(94, 34.3637)	(95, 34.3532)	(96, 34.3212)	(97, 34.2144)	(98, 34.1481)	(99, 34.0658)	(100, 33.9448)	(101, 32.4338)
1_ATCACG_L001_combined	(1, 33.3493)	(2, 33.4491)	(3, 33.5156)	(4, 35.7545)	(5, 35.8021)	(6, 36.6141)	(7, 36.6576)	(8, 36.6566)	(9, 36.6505)	(10, 36.6685)	(11, 36.6303)	(12, 36.6128)	(13, 36.6159)	(14, 37.8251)	(15, 37.8217)	(16, 37.8306)	(17, 37.7938)	(18, 37.7854)	(19, 37.8022)	(20, 37.788)	(21, 37.7383)	(22, 37.7533)	(23, 37.7286)	(24, 37.7187)	(25, 37.7068)	(26, 37.7156)	(27, 37.7016)	(28, 37.6797)	(29, 37.6379)	(30, 37.6463)	(31, 37.638)	(32, 37.649)	(33, 37.6132)	(34, 37.602)	(35, 37.5676)	(36, 37.577)	(37, 37.5914)	(38, 37.5696)	(39, 37.5736)	(40, 37.567)	(41, 37.5425)	(42, 37.5194)	(43, 37.5105)	(44, 37.4728)	(45, 37.4521)	(46, 37.4214)	(47, 37.3926)	(48, 37.3663)	(49, 37.3345)	(50, 37.2622)	(51, 37.2565)	(52, 37.2239)	(53, 37.178)	(54, 37.152)	(55, 37.1171)	(56, 37.0686)	(57, 37.0304)	(58, 36.9674)	(59, 36.9354)	(60, 36.8778)	(61, 36.8178)	(62, 36.7412)	(63, 36.6724)	(64, 36.6204)	(65, 36.5584)	(66, 36.4841)	(67, 36.4207)	(68, 36.3383)	(69, 36.2626)	(70, 36.1701)	(71, 36.1079)	(72, 36.024)	(73, 35.9547)	(74, 35.8507)	(75, 35.7835)	(76, 35.7142)	(77, 35.6291)	(78, 35.5821)	(79, 35.4997)	(80, 35.4491)	(81, 35.3956)	(82, 35.3282)	(83, 35.2936)	(84, 35.2425)	(85, 35.1929)	(86, 35.1635)	(87, 35.0892)	(88, 35.0514)	(89, 35.0268)	(90, 35.0011)	(91, 34.962)	(92, 34.9251)	(93, 34.8716)	(94, 34.8222)	(95, 34.7897)	(96, 34.7357)	(97, 34.6693)	(98, 34.6098)	(99, 34.524)	(100, 34.3886)	(101, 32.7129)
21_ACAGTG_L002_combined	(1, 32.6497)	(2, 32.7497)	(3, 32.7118)	(4, 35.2958)	(5, 35.3822)	(6, 35.9515)	(7, 35.878)	(8, 35.9148)	(9, 35.9865)	(10, 35.9964)	(11, 35.9351)	(12, 35.9208)	(13, 35.9535)	(14, 37.3909)	(15, 37.3555)	(16, 37.3302)	(17, 37.2921)	(18, 37.3155)	(19, 37.3383)	(20, 37.4189)	(21, 37.3655)	(22, 37.3894)	(23, 37.3928)	(24, 37.3453)	(25, 37.3048)	(26, 37.1519)	(27, 37.2414)	(28, 37.1518)	(29, 37.2691)	(30, 37.1976)	(31, 37.2107)	(32, 37.2051)	(33, 37.1571)	(34, 37.2267)	(35, 37.1908)	(36, 37.1625)	(37, 37.1212)	(38, 37.1222)	(39, 37.0521)	(40, 37.0159)	(41, 37.0066)	(42, 37.0054)	(43, 36.9413)	(44, 36.8873)	(45, 36.8661)	(46, 36.7782)	(47, 36.7749)	(48, 36.7228)	(49, 36.7747)	(50, 36.7004)	(51, 36.7136)	(52, 36.6531)	(53, 36.6881)	(54, 36.5723)	(55, 36.544)	(56, 36.5185)	(57, 36.3472)	(58, 36.3464)	(59, 36.3025)	(60, 36.18)	(61, 36.1194)	(62, 36.0492)	(63, 36.0152)	(64, 35.9534)	(65, 35.9061)	(66, 35.7738)	(67, 35.7596)	(68, 35.6765)	(69, 35.5195)	(70, 35.4348)	(71, 35.3982)	(72, 35.3001)	(73, 35.2243)	(74, 35.1121)	(75, 35.0655)	(76, 35.0164)	(77, 34.9435)	(78, 34.8165)	(79, 34.837)	(80, 34.7656)	(81, 34.7717)	(82, 34.6529)	(83, 34.6031)	(84, 34.6186)	(85, 34.5806)	(86, 34.5433)	(87, 34.4615)	(88, 34.4652)	(89, 34.4173)	(90, 34.4217)	(91, 34.4137)	(92, 34.3725)	(93, 34.3322)	(94, 34.2739)	(95, 34.2649)	(96, 34.2323)	(97, 34.1201)	(98, 34.0515)	(99, 33.9632)	(100, 33.8324)	(101, 32.2858)
25_GATCAG_L002_combined	(1, 32.5825)	(2, 32.6819)	(3, 32.6746)	(4, 35.2869)	(5, 35.3149)	(6, 35.9061)	(7, 35.8252)	(8, 35.8607)	(9, 35.9215)	(10, 35.9316)	(11, 35.8757)	(12, 35.8608)	(13, 35.8948)	(14, 37.3546)	(15, 37.3185)	(16, 37.2933)	(17, 37.2567)	(18, 37.2782)	(19, 37.2974)	(20, 37.3761)	(21, 37.3166)	(22, 37.343)	(23, 37.3456)	(24, 37.3)	(25, 37.26)	(26, 37.1096)	(27, 37.1922)	(28, 37.1039)	(29, 37.218)	(30, 37.1441)	(31, 37.1575)	(32, 37.149)	(33, 37.1014)	(34, 37.1715)	(35, 37.1328)	(36, 37.1025)	(37, 37.0619)	(38, 37.0573)	(39, 36.9903)	(40, 36.9518)	(41, 36.9408)	(42, 36.9308)	(43, 36.871)	(44, 36.8132)	(45, 36.7878)	(46, 36.696)	(47, 36.6907)	(48, 36.6375)	(49, 36.6835)	(50, 36.6095)	(51, 36.6121)	(52, 36.548)	(53, 36.5775)	(54, 36.4581)	(55, 36.4245)	(56, 36.3954)	(57, 36.2199)	(58, 36.2141)	(59, 36.1667)	(60, 36.0406)	(61, 35.9772)	(62, 35.9031)	(63, 35.8669)	(64, 35.804)	(65, 35.7528)	(66, 35.6173)	(67, 35.6012)	(68, 35.518)	(69, 35.3632)	(70, 35.2821)	(71, 35.2418)	(72, 35.144)	(73, 35.0701)	(74, 34.9626)	(75, 34.9149)	(76, 34.8679)	(77, 34.7936)	(78, 34.671)	(79, 34.6931)	(80, 34.6232)	(81, 34.6262)	(82, 34.5176)	(83, 34.4681)	(84, 34.4838)	(85, 34.448)	(86, 34.4116)	(87, 34.3301)	(88, 34.3374)	(89, 34.2887)	(90, 34.2899)	(91, 34.283)	(92, 34.2423)	(93, 34.1988)	(94, 34.144)	(95, 34.1331)	(96, 34.0992)	(97, 33.9893)	(98, 33.9194)	(99, 33.8317)	(100, 33.701)	(101, 32.1284)
29_AGTCAA_L002_combined	(1, 32.6525)	(2, 32.8113)	(3, 32.8043)	(4, 35.1442)	(5, 35.2292)	(6, 35.9395)	(7, 35.7927)	(8, 35.8574)	(9, 35.9342)	(10, 35.9313)	(11, 35.8931)	(12, 35.8876)	(13, 35.9025)	(14, 37.2334)	(15, 37.2052)	(16, 37.1608)	(17, 37.1199)	(18, 37.1498)	(19, 37.1782)	(20, 37.2744)	(21, 37.1976)	(22, 37.2376)	(23, 37.2634)	(24, 37.1928)	(25, 37.1348)	(26, 36.9678)	(27, 37.0709)	(28, 36.9602)	(29, 37.1329)	(30, 37.0372)	(31, 37.0414)	(32, 37.0349)	(33, 36.9606)	(34, 37.0733)	(35, 37.0569)	(36, 37.0087)	(37, 36.9594)	(38, 36.9553)	(39, 36.8784)	(40, 36.8301)	(41, 36.8361)	(42, 36.8599)	(43, 36.7847)	(44, 36.7201)	(45, 36.6998)	(46, 36.6024)	(47, 36.5987)	(48, 36.5436)	(49, 36.6092)	(50, 36.5283)	(51, 36.5525)	(52, 36.4895)	(53, 36.5359)	(54, 36.4132)	(55, 36.3881)	(56, 36.37)	(57, 36.1822)	(58, 36.1954)	(59, 36.1564)	(60, 36.0309)	(61, 35.9763)	(62, 35.9136)	(63, 35.889)	(64, 35.8313)	(65, 35.7881)	(66, 35.6502)	(67, 35.6564)	(68, 35.5785)	(69, 35.419)	(70, 35.3403)	(71, 35.314)	(72, 35.2178)	(73, 35.1504)	(74, 35.041)	(75, 35.007)	(76, 34.9678)	(77, 34.8941)	(78, 34.765)	(79, 34.8033)	(80, 34.7331)	(81, 34.7556)	(82, 34.6291)	(83, 34.5821)	(84, 34.6075)	(85, 34.5655)	(86, 34.5294)	(87, 34.4472)	(88, 34.459)	(89, 34.4076)	(90, 34.4156)	(91, 34.4092)	(92, 34.3697)	(93, 34.335)	(94, 34.2716)	(95, 34.2641)	(96, 34.2326)	(97, 34.1062)	(98, 34.0317)	(99, 33.9357)	(100, 33.7899)	(101, 32.1648)
33_GTCCGC_L002_combined	(1, 32.5656)	(2, 32.7117)	(3, 32.669)	(4, 35.1123)	(5, 35.1685)	(6, 35.7849)	(7, 35.7095)	(8, 35.7143)	(9, 35.8123)	(10, 35.8389)	(11, 35.8018)	(12, 35.772)	(13, 35.7973)	(14, 37.1681)	(15, 37.1322)	(16, 37.0894)	(17, 37.0478)	(18, 37.0643)	(19, 37.1036)	(20, 37.1949)	(21, 37.1193)	(22, 37.1578)	(23, 37.1812)	(24, 37.1143)	(25, 37.053)	(26, 36.8931)	(27, 36.9888)	(28, 36.8876)	(29, 37.0499)	(30, 36.9526)	(31, 36.9556)	(32, 36.9505)	(33, 36.873)	(34, 36.9839)	(35, 36.9712)	(36, 36.9152)	(37, 36.8676)	(38, 36.862)	(39, 36.7927)	(40, 36.7464)	(41, 36.7452)	(42, 36.7646)	(43, 36.6892)	(44, 36.6265)	(45, 36.6018)	(46, 36.5061)	(47, 36.4988)	(48, 36.4409)	(49, 36.4992)	(50, 36.419)	(51, 36.4352)	(52, 36.3714)	(53, 36.4099)	(54, 36.2898)	(55, 36.2595)	(56, 36.2372)	(57, 36.0531)	(58, 36.0586)	(59, 36.0148)	(60, 35.8901)	(61, 35.8326)	(62, 35.7643)	(63, 35.7345)	(64, 35.6761)	(65, 35.6318)	(66, 35.4947)	(67, 35.4917)	(68, 35.4123)	(69, 35.2557)	(70, 35.1763)	(71, 35.1471)	(72, 35.0503)	(73, 34.9796)	(74, 34.8697)	(75, 34.8273)	(76, 34.7851)	(77, 34.7136)	(78, 34.585)	(79, 34.6158)	(80, 34.5459)	(81, 34.5602)	(82, 34.4389)	(83, 34.3874)	(84, 34.4077)	(85, 34.3679)	(86, 34.3312)	(87, 34.246)	(88, 34.2536)	(89, 34.2033)	(90, 34.2079)	(91, 34.1995)	(92, 34.1579)	(93, 34.1183)	(94, 34.0554)	(95, 34.0448)	(96, 34.0088)	(97, 33.8862)	(98, 33.8096)	(99, 33.7098)	(100, 33.5649)	(101, 31.9455)
37_CGTACG_L002_combined	(1, 32.5728)	(2, 32.7375)	(3, 32.7174)	(4, 35.1832)	(5, 35.2333)	(6, 35.8804)	(7, 35.731)	(8, 35.7733)	(9, 35.8587)	(10, 35.875)	(11, 35.8365)	(12, 35.8139)	(13, 35.8364)	(14, 37.2102)	(15, 37.1754)	(16, 37.1269)	(17, 37.0839)	(18, 37.1045)	(19, 37.1428)	(20, 37.2354)	(21, 37.1583)	(22, 37.198)	(23, 37.2229)	(24, 37.1534)	(25, 37.0914)	(26, 36.9308)	(27, 37.0215)	(28, 36.9183)	(29, 37.0837)	(30, 36.9876)	(31, 36.9914)	(32, 36.9862)	(33, 36.9056)	(34, 37.0186)	(35, 37.002)	(36, 36.9454)	(37, 36.8968)	(38, 36.8885)	(39, 36.8133)	(40, 36.7681)	(41, 36.7692)	(42, 36.7883)	(43, 36.7139)	(44, 36.6474)	(45, 36.6207)	(46, 36.522)	(47, 36.5126)	(48, 36.4534)	(49, 36.5119)	(50, 36.43)	(51, 36.4447)	(52, 36.3822)	(53, 36.4205)	(54, 36.2963)	(55, 36.2673)	(56, 36.2439)	(57, 36.0589)	(58, 36.0619)	(59, 36.0163)	(60, 35.8917)	(61, 35.8357)	(62, 35.7675)	(63, 35.7394)	(64, 35.6808)	(65, 35.6377)	(66, 35.4989)	(67, 35.4971)	(68, 35.4183)	(69, 35.2597)	(70, 35.1801)	(71, 35.152)	(72, 35.0559)	(73, 34.9859)	(74, 34.8807)	(75, 34.8404)	(76, 34.7975)	(77, 34.725)	(78, 34.5974)	(79, 34.6294)	(80, 34.5599)	(81, 34.5737)	(82, 34.4518)	(83, 34.4043)	(84, 34.4254)	(85, 34.3844)	(86, 34.3495)	(87, 34.2655)	(88, 34.2733)	(89, 34.2216)	(90, 34.2245)	(91, 34.2168)	(92, 34.1769)	(93, 34.1349)	(94, 34.0721)	(95, 34.0625)	(96, 34.0256)	(97, 33.9008)	(98, 33.8251)	(99, 33.7252)	(100, 33.5772)	(101, 31.9367)
41_GTCCGC_L001_combined	(1, 33.0634)	(2, 33.1821)	(3, 33.1676)	(4, 35.5682)	(5, 35.5817)	(6, 36.3151)	(7, 36.3653)	(8, 36.3294)	(9, 36.346)	(10, 36.3774)	(11, 36.3581)	(12, 36.322)	(13, 36.317)	(14, 37.5899)	(15, 37.5828)	(16, 37.5733)	(17, 37.5351)	(18, 37.5192)	(19, 37.5482)	(20, 37.5299)	(21, 37.4552)	(22, 37.4778)	(23, 37.4665)	(24, 37.4352)	(25, 37.4056)	(26, 37.4095)	(27, 37.386)	(28, 37.3586)	(29, 37.3458)	(30, 37.3333)	(31, 37.3093)	(32, 37.3124)	(33, 37.2503)	(34, 37.2636)	(35, 37.2453)	(36, 37.2193)	(37, 37.2281)	(38, 37.1891)	(39, 37.1865)	(40, 37.1644)	(41, 37.1377)	(42, 37.1112)	(43, 37.0867)	(44, 37.0296)	(45, 36.9919)	(46, 36.9438)	(47, 36.8981)	(48, 36.8502)	(49, 36.7993)	(50, 36.7067)	(51, 36.6847)	(52, 36.6382)	(53, 36.5718)	(54, 36.523)	(55, 36.4719)	(56, 36.4031)	(57, 36.3457)	(58, 36.2666)	(59, 36.2224)	(60, 36.1469)	(61, 36.0755)	(62, 35.9841)	(63, 35.9021)	(64, 35.841)	(65, 35.7725)	(66, 35.6879)	(67, 35.6245)	(68, 35.5411)	(69, 35.4589)	(70, 35.3694)	(71, 35.3115)	(72, 35.2295)	(73, 35.1674)	(74, 35.0637)	(75, 35.0058)	(76, 34.946)	(77, 34.8708)	(78, 34.8305)	(79, 34.7551)	(80, 34.7127)	(81, 34.6604)	(82, 34.6001)	(83, 34.5695)	(84, 34.5219)	(85, 34.4781)	(86, 34.4475)	(87, 34.3708)	(88, 34.3354)	(89, 34.3109)	(90, 34.2788)	(91, 34.2373)	(92, 34.1957)	(93, 34.132)	(94, 34.0796)	(95, 34.0384)	(96, 33.9787)	(97, 33.9041)	(98, 33.8352)	(99, 33.7344)	(100, 33.584)	(101, 31.725)
45_CGTACG_L001_combined	(1, 33.0667)	(2, 33.2008)	(3, 33.2012)	(4, 35.6229)	(5, 35.6217)	(6, 36.3774)	(7, 36.3646)	(8, 36.3732)	(9, 36.3762)	(10, 36.3965)	(11, 36.3824)	(12, 36.3512)	(13, 36.3435)	(14, 37.6154)	(15, 37.6097)	(16, 37.5962)	(17, 37.5559)	(18, 37.5447)	(19, 37.5728)	(20, 37.5548)	(21, 37.4795)	(22, 37.5028)	(23, 37.4941)	(24, 37.4616)	(25, 37.4311)	(26, 37.4312)	(27, 37.4034)	(28, 37.3772)	(29, 37.3651)	(30, 37.3524)	(31, 37.3289)	(32, 37.3319)	(33, 37.2707)	(34, 37.2817)	(35, 37.2636)	(36, 37.2366)	(37, 37.2421)	(38, 37.2033)	(39, 37.1987)	(40, 37.1754)	(41, 37.1513)	(42, 37.1248)	(43, 37.0977)	(44, 37.0428)	(45, 37.0035)	(46, 36.956)	(47, 36.9062)	(48, 36.8579)	(49, 36.8065)	(50, 36.7133)	(51, 36.6914)	(52, 36.6457)	(53, 36.5818)	(54, 36.5325)	(55, 36.4826)	(56, 36.4108)	(57, 36.3537)	(58, 36.2743)	(59, 36.2283)	(60, 36.1539)	(61, 36.0829)	(62, 35.9952)	(63, 35.9141)	(64, 35.8528)	(65, 35.7825)	(66, 35.6972)	(67, 35.6359)	(68, 35.5516)	(69, 35.4687)	(70, 35.3799)	(71, 35.3225)	(72, 35.241)	(73, 35.1789)	(74, 35.0783)	(75, 35.0217)	(76, 34.9617)	(77, 34.8862)	(78, 34.8466)	(79, 34.7699)	(80, 34.726)	(81, 34.6737)	(82, 34.6127)	(83, 34.5853)	(84, 34.5372)	(85, 34.493)	(86, 34.4639)	(87, 34.3875)	(88, 34.3528)	(89, 34.3253)	(90, 34.294)	(91, 34.2552)	(92, 34.2137)	(93, 34.15)	(94, 34.0993)	(95, 34.0603)	(96, 34.0016)	(97, 33.927)	(98, 33.8617)	(99, 33.7607)	(100, 33.6134)	(101, 31.7724)
