Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
1_ATCACG_L001_R2_combined - illumina_universal_adapter	(1, 7.579647887457388e-05)	(2, 0.00011369471831186082)	(3, 0.00020031926559708812)	(4, 0.0005197472837113637)	(5, 0.0006334420020232246)	(6, 0.00092038581490554)	(7, 0.0010070103621907672)	(8, 0.0011531892857345883)	(9, 0.0013372664487156963)	(10, 0.0016431593813166553)	(12, 0.002030262826997515)	(14, 0.0024444364437050075)	(16, 0.0028694381288231537)	(18, 0.0032348854376827068)	(20, 0.0035651415242076356)	(22, 0.003803359029242011)	(24, 0.004060525653995029)	(26, 0.004306864210337394)	(28, 0.00454508171537177)	(30, 0.004780592203303482)	(32, 0.005137918460855043)	(34, 0.005771360462878268)	(36, 0.00653203226872667)	(38, 0.007511972459890805)	(40, 0.008927742404583737)	(42, 0.010966126282889243)	(44, 0.013973622283948228)	(46, 0.01782570762103818)	(48, 0.022852638380684027)	(50, 0.02964725130836904)	(52, 0.038842988406116455)	(54, 0.05096230397474028)	(56, 0.06583194891967009)	(58, 0.08370367583145354)	(60, 0.10728991584695934)	(62, 0.1382798476382494)	(64, 0.1788472059387624)	(66, 0.2294819608440804)	(68, 0.29087169469827995)	(70, 0.36731785767749303)	(72, 0.46484085581804296)	(74, 0.5899673073544511)	(76, 0.7444161681469088)	(78, 0.9311624499912428)	(80, 1.1576287937829561)	(82, 1.4347650837023223)	(84, 1.7755379316710984)	(86, 2.191297860400752)	(88, 2.674143086968609)	(90, 3.0815004346115957)
1_ATCACG_L001_R2_combined - polya	(1, 0.017595611167311793)	(2, 0.028272086620216057)	(3, 0.031780380785267764)	(4, 0.04034538289809461)	(5, 0.044319284004804414)	(6, 0.047621844870053706)	(7, 0.05134670040331848)	(8, 0.06020406036323297)	(9, 0.0705069674559697)	(10, 0.08963204328628628)	(12, 0.09910931016271068)	(14, 0.10994820664177474)	(16, 0.12429269026878785)	(18, 0.13709958818148815)	(20, 0.151952991023802)	(22, 0.16628664658240444)	(24, 0.17825436919327914)	(26, 0.19057129701039738)	(28, 0.20212484600456457)	(30, 0.2122951092592708)	(32, 0.22262508652303414)	(34, 0.23484185470735386)	(36, 0.24654158262506487)	(38, 0.2558483074240214)	(40, 0.2667521723135494)	(42, 0.2784627282996711)	(44, 0.28965895103628675)	(46, 0.3009039000807503)	(48, 0.3117915228676623)	(50, 0.3248231031998837)	(52, 0.3366554749556252)	(54, 0.3494732009367362)	(56, 0.36042579213411213)	(58, 0.3725992480447892)	(60, 0.38429085491119225)	(62, 0.39464790234598224)	(64, 0.40542183041458235)	(66, 0.41841280549026383)	(68, 0.42941412299548765)	(70, 0.4431955470651468)	(72, 0.45526342930882)	(74, 0.46598051001826424)	(76, 0.47767482390176996)	(78, 0.48907136590398265)	(80, 0.4983564345661179)	(82, 0.5065153841135452)	(84, 0.5166612842143276)	(86, 0.5286723190988449)	(88, 0.539960580416951)	(90, 0.5485661877863178)
21_ACAGTG_L002_R1_combined - illumina_universal_adapter	(1, 6.855561031490939e-05)	(2, 0.00010888243991191491)	(3, 0.00018147073318652485)	(4, 0.0005121507358819701)	(5, 0.0005968370780356818)	(6, 0.0008750922022550199)	(7, 0.0009759092762475337)	(8, 0.0011089878139176519)	(9, 0.0012299683027086684)	(10, 0.0014880600121295038)	(12, 0.0017884948926271949)	(14, 0.002066750016846533)	(16, 0.0023248417262673685)	(18, 0.0025547046549703)	(20, 0.002778518559233681)	(22, 0.0029519239265008044)	(24, 0.003109198561929126)	(26, 0.003290669295115651)	(28, 0.003484238077181277)	(30, 0.00372216637180361)	(32, 0.004038731984140103)	(34, 0.004498457841545966)	(36, 0.005171915895815959)	(38, 0.006049024439550828)	(40, 0.007291090791138598)	(42, 0.00912999422076205)	(44, 0.011436688873710767)	(46, 0.014430955971288427)	(48, 0.018195465514168892)	(50, 0.02351457433801392)	(52, 0.03075324025067641)	(54, 0.040131244473460045)	(56, 0.05137234822362534)	(58, 0.06557344126621084)	(60, 0.08356525629091485)	(62, 0.10747503355897942)	(64, 0.13874647356997735)	(66, 0.17876278657908595)	(68, 0.22685051453203517)	(70, 0.2872338928291114)	(72, 0.3655022200524596)	(74, 0.4661559703851055)	(76, 0.5918607472634113)	(78, 0.7453507097340538)	(80, 0.9329652354096825)	(82, 1.1641408024159965)	(84, 1.450846413777387)	(86, 1.804387696171375)	(88, 2.223091086169684)	(90, 2.5774005946674947)
21_ACAGTG_L002_R1_combined - polya	(1, 0.0025446229475710484)	(2, 0.009472772272336597)	(3, 0.013025565959832784)	(4, 0.023623456777925836)	(5, 0.028369924621493386)	(6, 0.032846202706761)	(7, 0.038056429090694115)	(8, 0.04596048769170719)	(9, 0.06009504146545763)	(10, 0.07684277379709402)	(12, 0.08650911485149626)	(14, 0.09773005518686304)	(16, 0.10540223451769334)	(18, 0.1118222657895366)	(20, 0.11857499340555519)	(22, 0.12627338517562353)	(24, 0.13402621816564786)	(26, 0.14466645215481777)	(28, 0.1570286417677798)	(30, 0.16707607136187375)	(32, 0.17585118948218215)	(34, 0.1850457066302994)	(36, 0.1936635501151795)	(38, 0.20059976480586442)	(40, 0.2079654602317575)	(42, 0.21565981931886613)	(44, 0.22312028279431217)	(46, 0.23091949163837303)	(48, 0.23788191876829604)	(50, 0.2442374271127841)	(52, 0.25038323594336775)	(54, 0.2571339472179065)	(56, 0.2646992604503047)	(58, 0.27167176928762693)	(60, 0.277313492748248)	(62, 0.28307418035618026)	(64, 0.29655140680749953)	(66, 0.3027072973454824)	(68, 0.3089801356892966)	(70, 0.3153396767167444)	(72, 0.32194722774621376)	(74, 0.32773412779338407)	(76, 0.33454936199527796)	(78, 0.3421590347402329)	(80, 0.34832903966857476)	(82, 0.3537207367856944)	(84, 0.3594733590277073)	(86, 0.3661615637163706)	(88, 0.37228317644919606)	(90, 0.3773825040517374)
21_ACAGTG_L002_R2_combined - illumina_universal_adapter	(1, 4.4359512556706076e-05)	(2, 5.242487847610718e-05)	(3, 9.275170807311271e-05)	(4, 0.000306483904937242)	(5, 0.0003629414663730497)	(6, 0.0005202161018013713)	(7, 0.0005887717121162806)	(8, 0.0006653926883505912)	(9, 0.0007541117134640033)	(10, 0.0009577622029288812)	(12, 0.0012017395219907647)	(14, 0.001451765865492199)	(16, 0.0016957431845540823)	(18, 0.0019296387962167143)	(20, 0.0021413546516009935)	(22, 0.002310727335908417)	(24, 0.002470018312816588)	(26, 0.0026313256312046106)	(28, 0.002816829047350836)	(30, 0.003046691976053767)	(32, 0.0033410778321119076)	(34, 0.00379878734803792)	(36, 0.00445813101194896)	(38, 0.005313059799405478)	(40, 0.006518832004355943)	(42, 0.008299261531063737)	(44, 0.010573694720334849)	(46, 0.013549814744593856)	(48, 0.017269964774917615)	(50, 0.022522534329927586)	(52, 0.029664415851557262)	(54, 0.038947652024787935)	(56, 0.0500193830906458)	(58, 0.06391399222829405)	(60, 0.08154084944514517)	(62, 0.1050513911001994)	(64, 0.1357280103746415)	(66, 0.17507086532948007)	(68, 0.2223762527882474)	(70, 0.28167282302768437)	(72, 0.35853979292253657)	(74, 0.45760869885202016)	(76, 0.5816560430338891)	(78, 0.7329441606085351)	(80, 0.9182298118749367)	(82, 1.1467538898352476)	(84, 1.4300196226320137)	(86, 1.7802601540234866)	(88, 2.1943340239840596)	(90, 2.5452560787957217)
21_ACAGTG_L002_R2_combined - polya	(1, 0.01300540254503428)	(2, 0.0204537679716012)	(3, 0.023139534822761768)	(4, 0.028777225600423142)	(5, 0.031180704644404672)	(6, 0.03343900710183698)	(7, 0.036019924196045335)	(8, 0.04202862180599916)	(9, 0.04906162088771692)	(10, 0.06105482000986636)	(12, 0.06751517811130664)	(14, 0.07504419719706758)	(16, 0.08531140801246519)	(18, 0.09453617028278019)	(20, 0.10564621183675521)	(22, 0.11603440314094385)	(24, 0.12449497199039561)	(26, 0.13317330571967118)	(28, 0.1413394887130648)	(30, 0.1488261646277489)	(32, 0.1561253207848069)	(34, 0.16477945841632427)	(36, 0.17314122653326336)	(38, 0.17996049341811698)	(40, 0.1880016632397599)	(42, 0.1959420159874103)	(44, 0.20396907141869425)	(46, 0.21235906831635123)	(48, 0.22018650594112998)	(50, 0.23024200090114333)	(52, 0.239188508047239)	(54, 0.24909882642070313)	(56, 0.2577711111255392)	(58, 0.27276462636970583)	(60, 0.28414889036494045)	(62, 0.2915246674982328)	(64, 0.2993158109763743)	(66, 0.30969190423168375)	(68, 0.31823312674032955)	(70, 0.32917379560999716)	(72, 0.3386506005652934)	(74, 0.34702245038963175)	(76, 0.35625729436734604)	(78, 0.36536107614887003)	(80, 0.37250295767049973)	(82, 0.37907824723629147)	(84, 0.38725854462004405)	(86, 0.39685431372265145)	(88, 0.4054177159875756)	(90, 0.41213213311547703)
25_GATCAG_L002_R1_combined - illumina_universal_adapter	(1, 7.525041456707559e-05)	(2, 0.00010033388608943412)	(3, 0.00018812603641768895)	(4, 0.0003804326514224377)	(5, 0.000476585958924812)	(6, 0.0006856148882777998)	(7, 0.0007734070386060546)	(8, 0.0008653797675213693)	(9, 0.0009615330750237436)	(10, 0.0011663814257896715)	(12, 0.001450660769709735)	(14, 0.0017140372206944994)	(16, 0.002000406853908093)	(18, 0.0022157066511416697)	(20, 0.002408013266146419)	(22, 0.00255851409528057)	(24, 0.0027696333139270875)	(26, 0.0029932942683347846)	(28, 0.0032294969585036602)	(30, 0.003630832502861397)	(32, 0.004232835819398002)	(34, 0.005066861247516423)	(36, 0.006266687302002572)	(38, 0.007964002208348833)	(40, 0.010165076834435793)	(42, 0.01314373907771587)	(44, 0.017261608985969727)	(46, 0.022767430985127426)	(48, 0.029565051767686586)	(50, 0.03841324634719856)	(52, 0.04989102485797112)	(54, 0.06509787946840097)	(56, 0.08341508454760328)	(58, 0.10498268947824456)	(60, 0.13314933770855963)	(62, 0.16979628960272547)	(64, 0.2172124119371572)	(66, 0.2764700231194357)	(68, 0.34833207874169936)	(70, 0.4362768201883819)	(72, 0.5477582190802108)	(74, 0.6890743170585918)	(76, 0.8653149685532698)	(78, 1.0765219793501157)	(80, 1.3320410328805012)	(82, 1.63998663218191)	(84, 2.0183310846001112)	(86, 2.479147901094534)	(88, 3.01646930573215)	(90, 3.4687054846766325)
25_GATCAG_L002_R1_combined - polya	(1, 0.0023118599586440442)	(2, 0.008152128244766521)	(3, 0.011475688221479027)	(4, 0.020434668133548082)	(5, 0.024318425640926594)	(6, 0.028051682319170955)	(7, 0.032478915042867235)	(8, 0.039263994089665216)	(9, 0.05182663274377978)	(10, 0.06578976522455937)	(12, 0.0737328645399729)	(14, 0.08385404529924456)	(16, 0.0909923832366491)	(18, 0.09694343685532866)	(20, 0.1028234206380282)	(22, 0.10955206187390087)	(24, 0.11637685641727592)	(26, 0.12583959604908568)	(28, 0.1359524156511832)	(30, 0.14450169886172043)	(32, 0.15181771138907502)	(34, 0.15996356876596093)	(36, 0.16705801062820133)	(38, 0.17293172354302028)	(40, 0.1790625420409434)	(42, 0.18499896363456828)	(44, 0.19106498316439197)	(46, 0.19710173864410627)	(48, 0.20291692345870638)	(50, 0.20807784772443166)	(52, 0.2128332558672121)	(54, 0.21830563323767332)	(56, 0.22411872776297992)	(58, 0.23022028221079363)	(60, 0.23487744675677819)	(62, 0.24006136420473229)	(64, 0.2511273557246795)	(66, 0.25624020333665354)	(68, 0.2615599895886871)	(70, 0.2671745066311083)	(72, 0.2726928703660272)	(74, 0.2775068066090265)	(76, 0.2829812742687813)	(78, 0.289469532235898)	(80, 0.29470570691619036)	(82, 0.2993419685692396)	(84, 0.30394269530429885)	(86, 0.3095446706109589)	(88, 0.3147662132661966)	(90, 0.31922061975070876)
25_GATCAG_L002_R2_combined - illumina_universal_adapter	(1, 5.4347521631776815e-05)	(2, 5.4347521631776815e-05)	(3, 0.00010451446467649387)	(4, 0.000221570665114167)	(5, 0.00028427934392006335)	(6, 0.00042223843729303524)	(7, 0.0004891276946859914)	(8, 0.0005518363734918876)	(9, 0.0006438091024072023)	(10, 0.000783858485073704)	(12, 0.0010117000180684607)	(14, 0.0012416318403567473)	(16, 0.0015112791592221014)	(18, 0.0017098566421074398)	(20, 0.0018938020999380689)	(22, 0.00204221263977869)	(24, 0.002253331858425208)	(26, 0.0024623607877781954)	(28, 0.0026881120314794222)	(30, 0.0030810864186630394)	(32, 0.0036726382887319947)	(34, 0.004473219088153938)	(36, 0.005675135431933617)	(38, 0.007353637734638109)	(40, 0.009514996864148001)	(42, 0.012426769850035121)	(44, 0.016429673847144836)	(46, 0.02182262022445192)	(48, 0.028505275095866936)	(50, 0.037228052317767116)	(52, 0.0484905310313061)	(54, 0.06339429369417413)	(56, 0.08129553120396399)	(58, 0.10239073075426752)	(60, 0.12995746595733954)	(62, 0.1658874486238246)	(64, 0.21237339222263554)	(66, 0.2702785862320002)	(68, 0.3407004325310218)	(70, 0.427259312176094)	(72, 0.536784200289179)	(74, 0.6752679562748269)	(76, 0.8482916525467625)	(78, 1.0562064577062988)	(80, 1.3075783772783214)	(82, 1.6108835343480936)	(84, 1.9838224986532267)	(86, 2.4391481251735465)	(88, 2.9695297693566434)	(90, 3.415699928771302)
25_GATCAG_L002_R2_combined - polya	(1, 0.012119497323886229)	(2, 0.018273309004038188)	(3, 0.02079837847062228)	(4, 0.02589868434683518)	(5, 0.028210544305479226)	(6, 0.030409528642272657)	(7, 0.03284680595852849)	(8, 0.03829409985746735)	(9, 0.044606773523927584)	(10, 0.05526097805304937)	(12, 0.061496311015648994)	(14, 0.06865973242457588)	(16, 0.07806603424546033)	(18, 0.08664667179540048)	(20, 0.09639578106042382)	(22, 0.105887784742343)	(24, 0.11345672227421469)	(26, 0.12169037180142887)	(28, 0.12931783743351938)	(30, 0.13651261318184923)	(32, 0.14328096991429895)	(34, 0.15079974050312595)	(36, 0.15812411418765465)	(38, 0.16411906388149833)	(40, 0.17137445801934054)	(42, 0.17900401394072457)	(44, 0.18656040973683508)	(46, 0.19389941544641848)	(48, 0.20114435813779302)	(50, 0.20986295478110617)	(52, 0.21741726028792313)	(54, 0.22605642593808212)	(56, 0.23369643330593382)	(58, 0.24654335130396843)	(60, 0.2564743157375289)	(62, 0.2633722704061775)	(64, 0.2704938860292338)	(66, 0.2793128165586363)	(68, 0.2873625206280199)	(70, 0.29736455489756036)	(72, 0.30574452467532165)	(74, 0.31300200910245735)	(76, 0.3210329005681991)	(78, 0.32880459616154323)	(80, 0.33500439420615286)	(82, 0.34070670339890236)	(84, 0.34803734795131164)	(86, 0.35655109624385883)	(88, 0.36376468459583045)	(90, 0.36968020329652)
29_AGTCAA_L002_R1_combined - illumina_universal_adapter	(1, 8.648405736413396e-05)	(2, 0.00011119378803960081)	(3, 0.00021415099918737932)	(4, 0.0004736031712797812)	(5, 0.0005642055170898263)	(6, 0.0008689588620872507)	(7, 0.0009554429194513846)	(8, 0.001107819591950097)	(9, 0.0012478413991110758)	(10, 0.0014949387058657442)	(12, 0.0018099877719779463)	(14, 0.002190929453224727)	(16, 0.0025389248269042184)	(18, 0.002849855604570509)	(20, 0.003134017507338378)	(22, 0.003354345939194624)	(24, 0.0035787926594967813)	(26, 0.0037805887933464273)	(28, 0.004103874436350452)	(30, 0.004575418463407277)	(32, 0.005158156278503703)	(34, 0.006128013207515778)	(36, 0.007462338663990987)	(38, 0.009262030714854156)	(40, 0.011646519725036705)	(42, 0.014825838405280107)	(44, 0.019271530782641183)	(46, 0.02497330113600516)	(48, 0.032198838214356255)	(50, 0.04177797713954556)	(52, 0.054647628533017883)	(54, 0.0711825566433511)	(56, 0.09199432730476306)	(58, 0.1167225902782365)	(60, 0.14746767267118613)	(62, 0.18836227693908375)	(64, 0.24176824150565945)	(66, 0.3089787089429292)	(68, 0.3914453759280769)	(70, 0.4929323581006651)	(72, 0.6213467692768434)	(74, 0.7860103553539315)	(76, 0.9891902341214035)	(78, 1.2344651982387562)	(80, 1.531741790562629)	(82, 1.8927633105965374)	(84, 2.335880851655461)	(86, 2.868091385809004)	(88, 3.4865059337123587)	(90, 4.00754766960059)
29_AGTCAA_L002_R1_combined - polya	(1, 0.002545102259573085)	(2, 0.008314824372294593)	(3, 0.011720648917063106)	(4, 0.02097444305502544)	(5, 0.02505154861647747)	(6, 0.0293139771579955)	(7, 0.03403353571700967)	(8, 0.041425863477420166)	(9, 0.05507387138716969)	(10, 0.06981734402353157)	(12, 0.07839779800058744)	(14, 0.08853290586597476)	(16, 0.09572961492520446)	(18, 0.10144374014390617)	(20, 0.10757175335142195)	(22, 0.11445959077720834)	(24, 0.12144008969302772)	(26, 0.13085861536882648)	(28, 0.14160322992420865)	(30, 0.1509270349657515)	(32, 0.15846350282176888)	(34, 0.1673137046920319)	(36, 0.17520640449862063)	(38, 0.18137354144637255)	(40, 0.18762922159571158)	(42, 0.19446558041592407)	(44, 0.20098894931424732)	(46, 0.20738671041497025)	(48, 0.21313790022968518)	(50, 0.2181786852874804)	(52, 0.22331213183530865)	(54, 0.22911068196715156)	(56, 0.23518721656909342)	(58, 0.2412699286037042)	(60, 0.24624893933481076)	(62, 0.2514894613822327)	(64, 0.25698119902485517)	(66, 0.265611072463262)	(68, 0.27101632604852033)	(70, 0.2765801337389463)	(72, 0.28251046910105837)	(74, 0.2875697864568602)	(76, 0.29359278330900523)	(78, 0.3001943996878008)	(80, 0.30556876610971484)	(82, 0.31010711997710894)	(84, 0.31508407156399254)	(86, 0.3211647244543803)	(88, 0.3269076776922034)	(90, 0.3315345747611846)
29_AGTCAA_L002_R2_combined - illumina_universal_adapter	(1, 6.177432668866711e-05)	(2, 6.589261513457826e-05)	(3, 0.00014825838405280108)	(4, 0.0003129899218892467)	(5, 0.00037888253702382497)	(6, 0.0005642055170898263)	(7, 0.0006218615553325822)	(8, 0.0007371736318180942)	(9, 0.0008442491314117838)	(10, 0.0010481044094843854)	(12, 0.0012931425720160983)	(14, 0.0016164282150201228)	(16, 0.0019273589926864139)	(18, 0.002215639183900194)	(20, 0.0024812687886614625)	(22, 0.0026851240667340637)	(24, 0.0029033933543673547)	(26, 0.0030990120555481337)	(28, 0.003418179410106247)	(30, 0.003867072850710561)	(32, 0.0044127460697937874)	(34, 0.0053434792585697055)	(36, 0.006622207821025114)	(38, 0.008376598698983261)	(40, 0.010707549959368966)	(42, 0.0138436266109303)	(44, 0.018116350873563107)	(46, 0.02365338968909064)	(48, 0.030683308066260954)	(50, 0.040089478876722)	(52, 0.052720269540331474)	(54, 0.06894220772877545)	(56, 0.0891980094499894)	(58, 0.11331470658924504)	(60, 0.14339056710973408)	(62, 0.1835129922940234)	(64, 0.23571847577861596)	(66, 0.3013310472988723)	(68, 0.3820968611558586)	(70, 0.4814588064903567)	(72, 0.6072045667535846)	(74, 0.7687526676213408)	(76, 0.9680057583556366)	(78, 1.2088823904127564)	(80, 1.5017956561281862)	(82, 1.8579019989018994)	(84, 2.295393957943709)	(86, 2.821050236035584)	(88, 3.432088929332312)	(90, 3.947783067673528)
29_AGTCAA_L002_R2_combined - polya	(1, 0.012041875415844176)	(2, 0.018276964122953644)	(3, 0.020673807998473927)	(4, 0.025648700441134584)	(5, 0.027851984759697045)	(6, 0.030059387366705416)	(7, 0.032225607089254676)	(8, 0.03753819918448005)	(9, 0.043493244277267556)	(10, 0.05368806732512059)	(12, 0.059208632986864476)	(14, 0.06563728125093177)	(16, 0.07479223646619224)	(18, 0.08310088340581795)	(20, 0.09278297954215506)	(22, 0.10167024600843129)	(24, 0.10937968197917694)	(26, 0.1172929732279952)	(28, 0.12422405268246366)	(30, 0.13092244883973814)	(32, 0.13738610255559566)	(34, 0.14476813459489138)	(36, 0.15210280631705914)	(38, 0.15828847556281767)	(40, 0.1651927861423877)	(42, 0.17225770997134826)	(44, 0.17940911785767294)	(46, 0.18671907984916522)	(48, 0.19388284260082767)	(50, 0.20230886076116184)	(52, 0.20997505470322542)	(54, 0.2183001747966348)	(56, 0.2258078146335308)	(58, 0.23604793885428887)	(60, 0.24425980601543568)	(62, 0.25068433599105705)	(64, 0.25727153836029193)	(66, 0.2658355191835642)	(68, 0.27327108897265673)	(70, 0.2826978512253473)	(72, 0.29073263198331994)	(74, 0.29827115898356027)	(76, 0.30625857942440493)	(78, 0.3141636340963314)	(80, 0.32013103405445664)	(82, 0.3255404059281609)	(84, 0.33248178110374416)	(86, 0.3401170878824634)	(88, 0.34703787161581706)	(90, 0.3527849431420861)
33_GTCCGC_L002_R1_combined - illumina_universal_adapter	(1, 4.5917215668202936e-05)	(2, 6.428410193548411e-05)	(3, 0.0001377516470046088)	(4, 0.00030764534497695965)	(5, 0.000422438384147467)	(6, 0.0005831486389861773)	(7, 0.0006657996271889425)	(8, 0.0007760009447926295)	(9, 0.0008953857055299572)	(10, 0.0010675752642857182)	(12, 0.0012604275700921707)	(14, 0.0014578715974654433)	(16, 0.001692049397373278)	(18, 0.0019032685894470117)	(20, 0.002121375363870976)	(22, 0.002316523530460838)	(24, 0.002458866899032267)	(26, 0.0026654943695391805)	(28, 0.0028721218400460935)	(30, 0.0031935423497235138)	(32, 0.0036641938103225942)	(34, 0.004279484500276513)	(36, 0.005147319876405549)	(38, 0.006407747446497719)	(40, 0.008026329298801873)	(42, 0.010239539094009254)	(44, 0.013497365545668253)	(46, 0.01754955982838716)	(48, 0.02279789757926276)	(50, 0.02993113703331808)	(52, 0.03956227301972365)	(54, 0.05238465549506932)	(56, 0.06764294626161316)	(58, 0.08680649622073765)	(60, 0.11164311817566862)	(62, 0.14457953697447057)	(64, 0.18788635893193617)	(66, 0.24202964378709768)	(68, 0.3087014409373283)	(70, 0.39312712952566964)	(72, 0.49915916394668386)	(74, 0.6353542173401406)	(76, 0.8039874877423993)	(78, 1.0094348858066398)	(80, 1.2594816754494056)	(82, 1.564293928219637)	(84, 1.9410332034733253)	(86, 2.3979714876130966)	(88, 2.933249133404389)	(90, 3.383763599072178)
33_GTCCGC_L002_R1_combined - polya	(1, 0.0021489256932718972)	(2, 0.007456955824516156)	(3, 0.010680344364424003)	(4, 0.020221941780276573)	(5, 0.024437142178617602)	(6, 0.02877172733769596)	(7, 0.03388231344156695)	(8, 0.04146783746995407)	(9, 0.05438894195898637)	(10, 0.0698033512588021)	(12, 0.07816946795354868)	(14, 0.08840441532599111)	(16, 0.09557438855258099)	(18, 0.10165153204626765)	(20, 0.1076322493870511)	(22, 0.11440963041967783)	(24, 0.12112731907193594)	(26, 0.13054953172705117)	(28, 0.14082121287202817)	(30, 0.1493618149863139)	(32, 0.15663280608737384)	(34, 0.16509075721345684)	(36, 0.17280944116728175)	(38, 0.1786409275571435)	(40, 0.1849453612683878)	(42, 0.19123372395414817)	(44, 0.1975289742222588)	(46, 0.2034568867650238)	(48, 0.20918965114119892)	(50, 0.21469282943903306)	(52, 0.21992050444285793)	(54, 0.22573821566801927)	(56, 0.231877347402858)	(58, 0.23769046690645249)	(60, 0.24257835451433268)	(62, 0.2472802773987567)	(64, 0.25232657940069214)	(66, 0.2606123409680194)	(68, 0.26590200421299637)	(70, 0.2714648748911992)	(72, 0.2772986571418443)	(74, 0.28225771643401026)	(76, 0.287898646378849)	(78, 0.2945681219546554)	(80, 0.2999817616819366)	(82, 0.3044357316017523)	(84, 0.30934657781746655)	(86, 0.31512296354852654)	(88, 0.32066287561889517)	(90, 0.32532347300921777)
33_GTCCGC_L002_R2_combined - illumina_universal_adapter	(1, 3.6733772534562345e-05)	(2, 5.0508937235023225e-05)	(3, 0.00010560959603686675)	(4, 0.00020662747050691321)	(5, 0.0002892784587096785)	(6, 0.00038570461161290464)	(7, 0.0004178466625806467)	(8, 0.0005096810939170525)	(9, 0.000610698968387099)	(10, 0.0007369713114746572)	(12, 0.0008930898447465471)	(14, 0.001065279403502308)	(16, 0.0012971613426267328)	(18, 0.0015060846739170563)	(20, 0.0017150080052073795)	(22, 0.0019124520325806524)	(24, 0.0020616829835023117)	(26, 0.002256831150092174)	(28, 0.002468050342165908)	(30, 0.0027940625734101483)	(32, 0.003255530590875588)	(34, 0.003861637837695867)	(36, 0.004706514605990801)	(38, 0.005964646315299561)	(40, 0.007571748863686664)	(42, 0.009757408329493124)	(44, 0.01296242998313369)	(46, 0.01692738155608301)	(48, 0.022099955901106073)	(50, 0.029038047188571534)	(52, 0.03850847292013839)	(54, 0.05111734034262692)	(56, 0.06608176092889426)	(58, 0.08476777184506944)	(60, 0.10897762380612944)	(62, 0.1412298760914752)	(64, 0.18369870886299605)	(66, 0.2366251875029502)	(68, 0.301657740053826)	(70, 0.38443500059967883)	(72, 0.48805408533732897)	(74, 0.6216020112475138)	(76, 0.7872024495548877)	(78, 0.9889856538088055)	(80, 1.2354164627177004)	(82, 1.5363073852698674)	(84, 1.9078786779000991)	(86, 2.3592219493107)	(88, 2.8877497643987664)	(90, 3.3330434426450815)
33_GTCCGC_L002_R2_combined - polya	(1, 0.012393056508847972)	(2, 0.019776544788295002)	(3, 0.0225132108421199)	(4, 0.028027868443871073)	(5, 0.030759942776129146)	(6, 0.0335103839946545)	(7, 0.03604960602110612)	(8, 0.04225302185788034)	(9, 0.04877326648276516)	(10, 0.06065664189769608)	(12, 0.06758095802046107)	(14, 0.075031026262627)	(16, 0.08454966507064547)	(18, 0.09343923802400955)	(20, 0.10459252970981606)	(22, 0.11455886137059951)	(24, 0.12306502557313409)	(26, 0.13136226644437837)	(28, 0.13898911596686686)	(30, 0.14598230791313418)	(32, 0.15308340531622178)	(34, 0.16131865794631395)	(36, 0.1692738155608301)	(38, 0.17574814297004673)	(40, 0.1833910635180191)	(42, 0.19095822066013896)	(44, 0.1985942536257611)	(46, 0.20624865347765053)	(48, 0.21354260318654456)	(50, 0.2222875369105538)	(52, 0.23020825661331884)	(54, 0.23902895374318062)	(56, 0.24655708125198247)	(58, 0.2565670342676507)	(60, 0.26520176667405626)	(62, 0.2720411359478351)	(64, 0.27926161811166)	(66, 0.28813282417875685)	(68, 0.2958055909169135)	(70, 0.3053586676366832)	(72, 0.3137178967490795)	(74, 0.3212253615108307)	(76, 0.3296213243957616)	(78, 0.33783132255723625)	(80, 0.34462018289378005)	(82, 0.35047921961304274)	(84, 0.35778924034742066)	(86, 0.3665387657929967)	(88, 0.3740439346939645)	(90, 0.38024505466995534)
