Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
29_AGTCAA_L002_R1_combined	(1, 0.024166116600606576)	(2, 0.01808752285444173)	(3, 0.009340278195326467)	(4, 0.0036529218515231818)	(5, 0.006000346265692532)	(6, 0.0040235678116551845)	(7, 4.118288445911141e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0009101417465463621)	(12, 0.00039947397925338066)	(14, 6.177432668866711e-06)	(16, 0.00017708640317417904)	(18, 1.4414009560688995e-05)	(20, 0.00016473153783644565)	(22, 0.0010666367074909856)	(24, 2.0591442229555705e-06)	(26, 0.00045507087327318105)	(28, 0.00202207962694237)	(30, 0.009087003455902931)	(32, 0.0003294630756728913)	(34, 0.002028257059611237)	(36, 0.004182121916822763)	(38, 0.003484072025240825)	(40, 0.006233029562886512)	(42, 0.008990223677424022)	(44, 0.004760741443473279)	(46, 0.0013734491967113654)	(48, 0.001945891290693014)	(50, 0.003842363120035095)	(52, 0.0029631085368330657)	(54, 0.004810160904824212)	(56, 0.0055226248059668396)	(58, 0.005318769527894238)	(60, 0.008413663294996461)	(62, 0.008370421266314394)	(64, 0.006852831973996139)	(66, 0.011646519725036705)	(68, 0.016016023766148427)	(70, 0.016069561515945272)	(72, 0.016755256542189477)	(74, 0.013285598526509342)	(76, 0.014969978500886997)	(78, 0.012276617857261111)	(80, 0.013522400112149231)	(82, 0.011932740772027531)	(84, 0.012447526827766422)	(86, 0.004725735991683034)	(88, 0.0002573930278694463)	(90, 0.0006753993051294271)	(92, 0.0019335364253552808)	(94, 0.000833953410297006)	(96, 0.00043447943104362537)	(98, 0.000512726911515937)	(100, 0.0002244467203021572)
29_AGTCAA_L002_R2_combined	(1, 0.5377743418439686)	(2, 0.24876109528681653)	(3, 0.23841595471068774)	(4, 0.2356731746057109)	(5, 0.23206555392709277)	(6, 0.17184382198253417)	(7, 0.16798086742026952)	(8, 0.16019730225749748)	(9, 0.17139904683037577)	(10, 0.18476701112580335)	(12, 0.18559478710343147)	(14, 0.1846846453568851)	(16, 0.18151562239775648)	(18, 0.160868583274181)	(20, 0.1547179194802127)	(22, 0.14931678418340025)	(24, 0.14636808965612785)	(26, 0.17669310662759455)	(28, 0.15266495268992597)	(30, 0.16286389402622492)	(32, 0.16093653503353852)	(34, 0.15071700225501003)	(36, 0.14636808965612785)	(38, 0.14496787158451807)	(40, 0.14966272041285678)	(42, 0.1402668453235105)	(44, 0.14083105084060032)	(46, 0.15549009856382104)	(48, 0.14824602918746332)	(50, 0.13705869862414571)	(52, 0.14285518961176566)	(54, 0.14411126758776854)	(56, 0.14769417853571126)	(58, 0.15173421950115007)	(60, 0.15512151174791197)	(62, 0.1602281894208418)	(64, 0.15939629515476775)	(66, 0.15688619834698492)	(68, 0.16687510697254238)	(70, 0.1560378309271272)	(72, 0.15632199282989506)	(74, 0.16229145193224329)	(76, 0.15733921007603513)	(78, 0.1544625855965662)	(80, 0.15298206090026115)	(82, 0.16865008929273007)	(84, 0.1588979822528125)	(86, 0.18493380180786273)	(88, 0.18291172218092036)	(90, 0.17839190061153287)	(92, 0.1766807517622568)	(94, 0.1774364576920815)	(96, 0.16467594094242585)	(98, 0.16898572980107185)	(100, 0.17273954971951985)
33_GTCCGC_L002_R1_combined	(1, 0.023004525049769672)	(2, 0.01736129924414753)	(3, 0.008366116694746574)	(4, 0.0034897083907834228)	(5, 0.005753427123225827)	(6, 0.004206016955207389)	(7, 3.673377253456235e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0009275277564976993)	(12, 0.00042473424493087714)	(14, 9.183443133640588e-06)	(16, 0.00015611853327188998)	(18, 1.377516470046088e-05)	(20, 0.0001905564450230422)	(22, 0.0010905338721198196)	(24, 2.295860783410147e-06)	(26, 0.0004132549410138264)	(28, 0.001999694742350238)	(30, 0.008499276620184364)	(32, 0.0003489708390783423)	(34, 0.0020869374521198234)	(36, 0.004410348564930892)	(38, 0.0036825606965898753)	(40, 0.006467439826866383)	(42, 0.009266094121843352)	(44, 0.004809828341244257)	(46, 0.0012673151524424011)	(48, 0.0017907714110599144)	(50, 0.003553992492718907)	(52, 0.002486417228433189)	(54, 0.004552691933502321)	(56, 0.005142728154838729)	(58, 0.004839674531428589)	(60, 0.007927607285115237)	(62, 0.008090613400737356)	(64, 0.006393972281797259)	(66, 0.01095584765843322)	(68, 0.015703687758525403)	(70, 0.015448847211566877)	(72, 0.0162914281190784)	(74, 0.01280171972829498)	(76, 0.014050667994470098)	(78, 0.011727256881659029)	(80, 0.01283156591847931)	(82, 0.011256605421059948)	(84, 0.011679043805207416)	(86, 0.004529733325668219)	(88, 0.00023876952147465526)	(90, 0.000640545158571431)	(92, 0.0018229134620276564)	(94, 0.0007254920075576063)	(96, 0.0004293259664976974)	(98, 0.0005188645370506932)	(100, 0.0002410653822580654)
33_GTCCGC_L002_R2_combined	(1, 0.5095341588269143)	(2, 0.23727262024387186)	(3, 0.22713869074589946)	(4, 0.22433314886857225)	(5, 0.22112353549336486)	(6, 0.16685857001668264)	(7, 0.16307958316718954)	(8, 0.15586139686414804)	(9, 0.1668264279657149)	(10, 0.18047761618387165)	(12, 0.18186202023626796)	(14, 0.18074623189553063)	(16, 0.1775090681909223)	(18, 0.15581318378769643)	(20, 0.1500643483860374)	(22, 0.1448963657625812)	(24, 0.14181072886967794)	(26, 0.16993731932723566)	(28, 0.14817944668285768)	(30, 0.15841668991608354)	(32, 0.1563940365658992)	(34, 0.14653101864036921)	(36, 0.14196455154216642)	(38, 0.14075233704852588)	(40, 0.14527288693106044)	(42, 0.13605959760723554)	(44, 0.1363259174581111)	(46, 0.1504684198839176)	(48, 0.14332829284751206)	(50, 0.13260203126741985)	(52, 0.13843351765728162)	(54, 0.13945747156668256)	(56, 0.1432525294416595)	(58, 0.14709580039308812)	(60, 0.15077376936811115)	(62, 0.1560106278150697)	(64, 0.15507162075465494)	(66, 0.15289284887119872)	(68, 0.16242296698313424)	(70, 0.15159109580700517)	(72, 0.15163701302267338)	(74, 0.15755115040073792)	(76, 0.1525714283615213)	(78, 0.15005057322133697)	(80, 0.14828276041811114)	(82, 0.16321503895341075)	(84, 0.15433005772161348)	(86, 0.179752124176314)	(88, 0.17789936452410204)	(90, 0.17424205829612968)	(92, 0.1717120197128117)	(94, 0.17260510955755823)	(96, 0.15992736631156743)	(98, 0.16465913538617571)	(100, 0.16750829861838773)
37_CGTACG_L002_R1_combined	(1, 0.023660881355600544)	(2, 0.01732168933148634)	(3, 0.008846332278024324)	(4, 0.0033061638145058655)	(5, 0.0063065788175592765)	(6, 0.0043946295832766)	(7, 2.445990491619629e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0008642499737056022)	(12, 0.0004097034073462878)	(14, 4.0766508193660485e-06)	(16, 0.00017937263605210613)	(18, 1.8344928687147216e-05)	(20, 0.00019771756473925333)	(22, 0.001180190412206471)	(24, 4.0766508193660485e-06)	(26, 0.00039339680406882363)	(28, 0.0020750152670573185)	(30, 0.00838567073543596)	(32, 0.00034040034341706506)	(34, 0.0021769315375414697)	(36, 0.004490430877531703)	(38, 0.0036037593243195866)	(40, 0.006459453223285503)	(42, 0.009527132964858454)	(44, 0.004820639593900352)	(46, 0.0012494934761356938)	(48, 0.0018141096146178915)	(50, 0.0033917734817125525)	(52, 0.002562175039971561)	(54, 0.004539350687364095)	(56, 0.005126388405352806)	(58, 0.004887904332419891)	(60, 0.007855706128918375)	(62, 0.007947430772354111)	(64, 0.006379958532307865)	(66, 0.010752166536077952)	(68, 0.015340437033274439)	(70, 0.015079531380835011)	(72, 0.015811290202911218)	(74, 0.012527547967911865)	(76, 0.013911570921086639)	(78, 0.011665336319615947)	(80, 0.012916868121161326)	(82, 0.011379970762260324)	(84, 0.011738716034364537)	(86, 0.004525082409496313)	(88, 0.0002445990491619629)	(90, 0.0006604174327372997)	(92, 0.0017896497097016951)	(94, 0.0008173684892828926)	(96, 0.00042397168521406906)	(98, 0.0004565848917689974)	(100, 0.00021198584260703453)
37_CGTACG_L002_R2_combined	(1, 0.5099400976928603)	(2, 0.23722438782972974)	(3, 0.22703276078131462)	(4, 0.2244726240667527)	(5, 0.22070579870965848)	(6, 0.16786425078903577)	(7, 0.1639547426532637)	(8, 0.15667384428987596)	(9, 0.16720791000711782)	(10, 0.18071385417167754)	(12, 0.18204080401338119)	(14, 0.18113374920607225)	(16, 0.17833716674398714)	(18, 0.1556852564661797)	(20, 0.14973538459531494)	(22, 0.14443573853013908)	(24, 0.14174107233853814)	(26, 0.16926661867089768)	(28, 0.14819033393477524)	(30, 0.15857560189711023)	(32, 0.15665142271036944)	(34, 0.14667993480620012)	(36, 0.14223027043686207)	(38, 0.1407606378164806)	(40, 0.14535502328990613)	(42, 0.13576674056275717)	(44, 0.1364964610594237)	(46, 0.15036318882149732)	(48, 0.1432718547212101)	(50, 0.13267460091626804)	(52, 0.1385877829297585)	(54, 0.13970886190508416)	(56, 0.1433330044835006)	(58, 0.14727512582582755)	(60, 0.15074843232392743)	(62, 0.15611534312762282)	(64, 0.1550329923350811)	(66, 0.15270930136804248)	(68, 0.16222624270585254)	(70, 0.1519388143631823)	(72, 0.15185524302138528)	(74, 0.15738521985785536)	(76, 0.15261757672460674)	(78, 0.15034076724199083)	(80, 0.14850831269868578)	(82, 0.16314552746561958)	(84, 0.15478227830969013)	(86, 0.17986591080124942)	(88, 0.17839831650627763)	(90, 0.17423197936888554)	(92, 0.17157807968547822)	(94, 0.1726013190411391)	(96, 0.16001669796175613)	(98, 0.1648230692777887)	(100, 0.16755442532676396)
41_GTCCGC_L001_R1_combined	(1, 0.02850636037447939)	(2, 0.023968559370860273)	(3, 0.015266710353261213)	(4, 0.0004353123055797408)	(5, 0.0032714379328416883)	(6, 0.0010728909349642097)	(7, 0.00048807743352880027)	(8, 0.0)	(9, 0.0)	(10, 1.9786922980897308e-05)	(12, 0.0007277190562974455)	(14, 1.758837598301983e-05)	(16, 4.397093995754957e-06)	(18, 4.3970939957549574e-05)	(20, 3.737529896391714e-05)	(22, 0.0)	(24, 0.0032230698988883837)	(26, 0.004348725961801653)	(28, 0.0016686971713890063)	(30, 0.003691360409436287)	(32, 0.007116696632129398)	(34, 0.006276851678940203)	(36, 0.008613907137683962)	(38, 0.008394052437896215)	(40, 0.010684938409684546)	(42, 0.01624506376731669)	(44, 0.011909529087502303)	(46, 0.014385093007112344)	(48, 0.018465596235172944)	(50, 0.01653307342403864)	(52, 0.015976841033575637)	(54, 0.02242737792534816)	(56, 0.024526990308321152)	(58, 0.019727562211954614)	(60, 0.024887552015973056)	(62, 0.018815165207835462)	(64, 0.02269779920608709)	(66, 0.029023018918980594)	(68, 0.028317285332661927)	(70, 0.0267673096991583)	(72, 0.02829749840968103)	(74, 0.02519974568967166)	(76, 0.03077306232929107)	(78, 0.038467976821862246)	(80, 0.033692732742472364)	(82, 0.029354999515660094)	(84, 0.03437648085881226)	(86, 0.01859970760204347)	(88, 0.009664812602669397)	(90, 0.008193984661089363)	(92, 0.00816980064411271)	(94, 0.005036871172137304)	(96, 0.009040425255272192)	(98, 0.011373083620020197)	(100, 0.006815495693420184)
41_GTCCGC_L001_R2_combined	(1, 0.6457792096865519)	(2, 0.19201669770062324)	(3, 0.18197813210831468)	(4, 0.19894651783793305)	(5, 0.1874129402870678)	(6, 0.14808972868303122)	(7, 0.14746094424163825)	(8, 0.14856021774057698)	(9, 0.15113251772809363)	(10, 0.17088646250402278)	(12, 0.16725006576953344)	(14, 0.14609344800895846)	(16, 0.1655945598801317)	(18, 0.16183944160775698)	(20, 0.17577383248030443)	(22, 0.1739028689851107)	(24, 0.1801885148520424)	(26, 0.1662805065434695)	(28, 0.189149792415391)	(30, 0.1970843485307308)	(32, 0.1866610372137937)	(34, 0.1805512751066922)	(36, 0.18197373501431893)	(38, 0.17718969674693752)	(40, 0.1835456961178013)	(42, 0.17535610855070768)	(44, 0.1761475854699436)	(46, 0.171851624636091)	(48, 0.1540170113893089)	(50, 0.15675420240166635)	(52, 0.16969924712516896)	(54, 0.17761841341152362)	(56, 0.17310039933088542)	(58, 0.1775524570015873)	(60, 0.17950036964170676)	(62, 0.17171311617522472)	(64, 0.1683647290974573)	(66, 0.1578930497465669)	(68, 0.1672522643165313)	(70, 0.16824161046557617)	(72, 0.18037978844085775)	(74, 0.18790761336159023)	(76, 0.18641260140303356)	(78, 0.17857697990259822)	(80, 0.16853401721629388)	(82, 0.17022030276366593)	(84, 0.15607265283232433)	(86, 0.16758864200720658)	(88, 0.16911223507673567)	(90, 0.16957612849328782)	(92, 0.16991250618396309)	(94, 0.15875268162273698)	(96, 0.17510767273994757)	(98, 0.17578042812129807)	(100, 0.17753926571960005)
45_CGTACG_L001_R1_combined	(1, 0.02941033956037742)	(2, 0.024678707643723638)	(3, 0.015084712447299973)	(4, 0.00035845696338286214)	(5, 0.003394798300272988)	(6, 0.0012103193940103695)	(7, 0.00045545120053351894)	(8, 0.0)	(9, 0.0)	(10, 4.638854820248803e-05)	(12, 0.0008497538602546672)	(14, 2.5302844474084383e-05)	(16, 2.1085703728403652e-06)	(18, 3.584569633828621e-05)	(20, 5.48228296938495e-05)	(22, 0.0)	(24, 0.0030806213147197736)	(26, 0.004337329256932631)	(28, 0.001743787698338982)	(30, 0.0037089752858262023)	(32, 0.00698780221559297)	(34, 0.00612328836272842)	(36, 0.008516515735902236)	(38, 0.008139081639163812)	(40, 0.010578697560540114)	(42, 0.016423654634053604)	(44, 0.011812211228651726)	(46, 0.014114770075793405)	(48, 0.018483727888318643)	(50, 0.016465826041510413)	(52, 0.015966094863147248)	(54, 0.022538508715290666)	(56, 0.024769376169755775)	(58, 0.019788932949106827)	(60, 0.024860044695787904)	(62, 0.018738864903432326)	(64, 0.022694542922880853)	(66, 0.029307019612108236)	(68, 0.028486785737073334)	(70, 0.026985483631610994)	(72, 0.028457265751853568)	(74, 0.02534712445191403)	(76, 0.031202624377291724)	(78, 0.038780826297280004)	(80, 0.0339437658619842)	(82, 0.02968445370884666)	(84, 0.0348631025445426)	(86, 0.01829395655476301)	(88, 0.009541280937102653)	(90, 0.008221315883704585)	(92, 0.008212881602213222)	(94, 0.0050479174725798345)	(96, 0.008986726929045638)	(98, 0.011424234280049099)	(100, 0.006663082378175554)
45_CGTACG_L001_R2_combined	(1, 0.6546436265150025)	(2, 0.19556146779945252)	(3, 0.18518730156507793)	(4, 0.2025408357335541)	(5, 0.1913443270537718)	(6, 0.1508808615989652)	(7, 0.15047179894663415)	(8, 0.1511802785919085)	(9, 0.15388346580988987)	(10, 0.1731600161583965)	(12, 0.16898082967942687)	(14, 0.14785717168431212)	(16, 0.16755754467775963)	(18, 0.1644431862370744)	(20, 0.1779928594529466)	(22, 0.17659066015500777)	(24, 0.18262117142133122)	(26, 0.16890070400525894)	(28, 0.1918777953581004)	(30, 0.19982499709333573)	(32, 0.1892652766661512)	(34, 0.18318626828125242)	(36, 0.18491740455735434)	(38, 0.1796333272030164)	(40, 0.18616989535882153)	(42, 0.17734341977811177)	(44, 0.17839770496453194)	(46, 0.17427755845600187)	(48, 0.15625771604970812)	(50, 0.15876691479338814)	(52, 0.17208886240899357)	(54, 0.1799264184848412)	(56, 0.17541196931658998)	(58, 0.17994539561819678)	(60, 0.18156688623491102)	(62, 0.17369770160347076)	(64, 0.17063605742210658)	(66, 0.16012061697275165)	(68, 0.17000981202137297)	(70, 0.17066979454807202)	(72, 0.18311457688857585)	(74, 0.1900496648448478)	(76, 0.18896585967320786)	(78, 0.18084575516739962)	(80, 0.1701890405030644)	(82, 0.17205723385340096)	(84, 0.15822922934831385)	(86, 0.17010469768815079)	(88, 0.1716671483344255)	(90, 0.1717409482974749)	(92, 0.17205512528302813)	(94, 0.16093663370704087)	(96, 0.17765759676366497)	(98, 0.17807298512711453)	(100, 0.18012884124063389)
5_ACAGTG_L001_R1_combined	(1, 0.02961602580451591)	(2, 0.024931529079850655)	(3, 0.015485872893423989)	(4, 0.0003591044000820049)	(5, 0.003223869838938449)	(6, 0.0011216968901437906)	(7, 0.00046804618437654567)	(8, 0.0)	(9, 0.0)	(10, 1.6139523599191232e-05)	(12, 0.0008251331440086518)	(14, 1.412208314929233e-05)	(16, 4.034880899797808e-06)	(18, 2.4209285398786846e-05)	(20, 7.262785619636054e-05)	(22, 0.0)	(24, 0.0031976431130897633)	(26, 0.004450473632476982)	(28, 0.0017632429532116421)	(30, 0.003915851913253773)	(32, 0.0071881403229897955)	(34, 0.006187489859839938)	(36, 0.008553947507571354)	(38, 0.008267470963685708)	(40, 0.010678312301314899)	(42, 0.016355389727330416)	(44, 0.011959386987000702)	(46, 0.014348036479681006)	(48, 0.018550364936820423)	(50, 0.016601517462218083)	(52, 0.015996285327248408)	(54, 0.022684100418663276)	(56, 0.02494161628210015)	(58, 0.019873805871954104)	(60, 0.025232127706885592)	(62, 0.018754126422260212)	(64, 0.023146094281690125)	(66, 0.029567607233718336)	(68, 0.02886150307625372)	(70, 0.027061946194943898)	(72, 0.028758613613308878)	(74, 0.025591232106967596)	(76, 0.031633466254414815)	(78, 0.039380437582026605)	(80, 0.03432069693368016)	(82, 0.029795578004556914)	(84, 0.03541213221707546)	(86, 0.01844545803342568)	(88, 0.009800725705608877)	(90, 0.008309837213133586)	(92, 0.00834009881988207)	(94, 0.00509807201689453)	(96, 0.00900181928744891)	(98, 0.011354154852031033)	(100, 0.0068391231251572855)
5_ACAGTG_L001_R2_combined	(1, 0.6610022587666765)	(2, 0.19709586219332334)	(3, 0.1864720207841557)	(4, 0.2036041250846972)	(5, 0.19212488892477242)	(6, 0.15069069696474874)	(7, 0.15050509244335805)	(8, 0.1520746611133794)	(9, 0.15378545061489365)	(10, 0.17378433779474148)	(12, 0.1697353348117944)	(14, 0.1489597330587355)	(16, 0.16855311470815362)	(18, 0.16506496017027844)	(20, 0.179481589625256)	(22, 0.17789184655073567)	(24, 0.18422257468251843)	(26, 0.17041722968386022)	(28, 0.1931093998643231)	(30, 0.20084628398968538)	(32, 0.19006911710632543)	(34, 0.1846260627724982)	(36, 0.1855742597839507)	(38, 0.18087564097613615)	(40, 0.18737179922481062)	(42, 0.17866856112394675)	(44, 0.1796571069443972)	(46, 0.17588651074353615)	(48, 0.15792725585853612)	(50, 0.15989224285673764)	(52, 0.17372784946214434)	(54, 0.1815091172774044)	(56, 0.17703241691907873)	(58, 0.18122465817396866)	(60, 0.18256423863270152)	(62, 0.17391950630488473)	(64, 0.17092965955813455)	(66, 0.1605297540389057)	(68, 0.17049590986140628)	(70, 0.17152682193130464)	(72, 0.18399056903078004)	(74, 0.19074697709749147)	(76, 0.18966361157589576)	(78, 0.18198119834268073)	(80, 0.1712504325896685)	(82, 0.17275544316529304)	(84, 0.15856476704070416)	(86, 0.17069361902549637)	(88, 0.17203319948422924)	(90, 0.1721017924595258)	(92, 0.17254562935850357)	(94, 0.16168171253579797)	(96, 0.17812788708337382)	(98, 0.17872101457564413)	(100, 0.18105922805707694)
9_GATCAG_L001_R1_combined	(1, 0.03017390151801363)	(2, 0.02345913186390539)	(3, 0.014095508259742514)	(4, 0.00036052454518701986)	(5, 0.0034700487474250657)	(6, 0.00125182133745493)	(7, 0.0004957212496321523)	(8, 0.0)	(9, 0.0)	(10, 2.7540069424008464e-05)	(12, 0.00089380043494282)	(14, 1.001457069963944e-05)	(16, 7.51092802472958e-06)	(18, 3.254735477382818e-05)	(20, 6.759835222256622e-05)	(22, 0.0)	(24, 0.002916743716269987)	(26, 0.00410347034417726)	(28, 0.0016098422399670402)	(30, 0.0036953765881669537)	(32, 0.006772353435631171)	(34, 0.0058910712140629005)	(36, 0.008179400618930513)	(38, 0.007994131060987184)	(40, 0.010252416753755877)	(42, 0.015542613725840412)	(44, 0.011318968533267477)	(46, 0.01380258206677806)	(48, 0.01791606698165496)	(50, 0.015705350499709555)	(52, 0.015512570013741494)	(54, 0.021876829693362358)	(56, 0.024085042532632855)	(58, 0.01935816516240304)	(60, 0.02399741503901101)	(62, 0.01822151138799396)	(64, 0.02236504001496978)	(66, 0.02866170134236808)	(68, 0.027677769771128503)	(70, 0.026220649734330966)	(72, 0.027449938287711705)	(74, 0.024498143573992985)	(76, 0.030156376019289267)	(78, 0.037421947061877674)	(80, 0.032655011408849306)	(82, 0.028849474542986316)	(84, 0.033663979406837984)	(86, 0.017911059696305142)	(88, 0.009523856735357107)	(90, 0.008021671130411192)	(92, 0.008006649274361732)	(94, 0.004957212496321523)	(96, 0.00858999801761573)	(98, 0.010905867491907351)	(100, 0.00644687988789289)
9_GATCAG_L001_R2_combined	(1, 0.6239778565824347)	(2, 0.18909512395059191)	(3, 0.1792658228088958)	(4, 0.19570474061235393)	(5, 0.18484393868859497)	(6, 0.14674851174716652)	(7, 0.14609756465168997)	(8, 0.14651817662107483)	(9, 0.14959264982586415)	(10, 0.16979704621238673)	(12, 0.16602656034397245)	(14, 0.14477063403398777)	(16, 0.16478475357721717)	(18, 0.1605060282457962)	(20, 0.17389801291388907)	(22, 0.17155460337017345)	(24, 0.1769799970467031)	(26, 0.16368315080025683)	(28, 0.18611078188209934)	(30, 0.19428517521568006)	(32, 0.18366722663138735)	(34, 0.17747571829633524)	(36, 0.17897289661593135)	(38, 0.17436369045142228)	(40, 0.18116608759915237)	(42, 0.17331716781330997)	(44, 0.17298167969487205)	(46, 0.16874050900357473)	(48, 0.1516105858218415)	(50, 0.1546149570317333)	(52, 0.16659989451652682)	(54, 0.17447885801446816)	(56, 0.16998982669835477)	(58, 0.1748969663411781)	(60, 0.1770576099696253)	(62, 0.1705256062307855)	(64, 0.16646219416940677)	(66, 0.15661286388631138)	(68, 0.16516280362112856)	(70, 0.16618679347516668)	(72, 0.17746820736831054)	(74, 0.18582286297448472)	(76, 0.18352451899891747)	(78, 0.17559297900480303)	(80, 0.16663494551397556)	(82, 0.16832740796221463)	(84, 0.15498549614762)	(86, 0.1661642606910925)	(88, 0.168149649332296)	(90, 0.16896082955896682)	(92, 0.16882563285452168)	(94, 0.15815260413138096)	(96, 0.17453393815331616)	(98, 0.17468666035648567)	(100, 0.17624893338562944)
