Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
29_AGTCAA_L002_R1_combined	(2.0, 372.0)	(3.0, 294.0)	(4.0, 438.0)	(5.0, 692.0)	(6.0, 1198.0)	(7.0, 2517.0)	(8.0, 4614.0)	(9.0, 7047.0)	(10.0, 8714.0)	(11.0, 9605.0)	(12.0, 10001.0)	(13.0, 10080.0)	(14.0, 11268.0)	(15.0, 12533.0)	(16.0, 14630.0)	(17.0, 16550.0)	(18.0, 18724.0)	(19.0, 21855.0)	(20.0, 25124.0)	(21.0, 29348.0)	(22.0, 35929.0)	(23.0, 47124.0)	(24.0, 65790.0)	(25.0, 92583.0)	(26.0, 128209.0)	(27.0, 172370.0)	(28.0, 226752.0)	(29.0, 289802.0)	(30.0, 365581.0)	(31.0, 458013.0)	(32.0, 573694.0)	(33.0, 723094.0)	(34.0, 923420.0)	(35.0, 1199047.0)	(36.0, 1857700.0)	(37.0, 4963716.0)	(38.0, 7899382.0)	(39.0, 4054122.0)
29_AGTCAA_L002_R2_combined	(2.0, 172188.0)	(3.0, 39735.0)	(4.0, 26239.0)	(5.0, 24139.0)	(6.0, 22064.0)	(7.0, 21795.0)	(8.0, 20807.0)	(9.0, 22203.0)	(10.0, 24345.0)	(11.0, 25713.0)	(12.0, 26598.0)	(13.0, 28114.0)	(14.0, 28751.0)	(15.0, 31057.0)	(16.0, 32806.0)	(17.0, 34951.0)	(18.0, 37421.0)	(19.0, 40325.0)	(20.0, 45698.0)	(21.0, 54389.0)	(22.0, 74446.0)	(23.0, 105111.0)	(24.0, 137379.0)	(25.0, 172085.0)	(26.0, 208449.0)	(27.0, 250105.0)	(28.0, 295058.0)	(29.0, 349171.0)	(30.0, 414526.0)	(31.0, 496421.0)	(32.0, 606447.0)	(33.0, 753027.0)	(34.0, 947309.0)	(35.0, 1220052.0)	(36.0, 1874818.0)	(37.0, 4954020.0)	(38.0, 7428649.0)	(39.0, 3235521.0)
33_GTCCGC_L002_R1_combined	(2.0, 384.0)	(3.0, 233.0)	(4.0, 397.0)	(5.0, 592.0)	(6.0, 1060.0)	(7.0, 2205.0)	(8.0, 4158.0)	(9.0, 6284.0)	(10.0, 7883.0)	(11.0, 8816.0)	(12.0, 9267.0)	(13.0, 9632.0)	(14.0, 10298.0)	(15.0, 11785.0)	(16.0, 13290.0)	(17.0, 15090.0)	(18.0, 17244.0)	(19.0, 20044.0)	(20.0, 23021.0)	(21.0, 27444.0)	(22.0, 33389.0)	(23.0, 43516.0)	(24.0, 59945.0)	(25.0, 84533.0)	(26.0, 116832.0)	(27.0, 157449.0)	(28.0, 206600.0)	(29.0, 264157.0)	(30.0, 333242.0)	(31.0, 417066.0)	(32.0, 523585.0)	(33.0, 664035.0)	(34.0, 844916.0)	(35.0, 1099089.0)	(36.0, 1706171.0)	(37.0, 4575245.0)	(38.0, 7076666.0)	(39.0, 3382761.0)
33_GTCCGC_L002_R2_combined	(2.0, 170701.0)	(3.0, 37712.0)	(4.0, 25127.0)	(5.0, 22818.0)	(6.0, 21032.0)	(7.0, 20938.0)	(8.0, 19957.0)	(9.0, 21351.0)	(10.0, 23365.0)	(11.0, 24245.0)	(12.0, 25485.0)	(13.0, 26868.0)	(14.0, 27891.0)	(15.0, 29155.0)	(16.0, 31756.0)	(17.0, 33326.0)	(18.0, 35671.0)	(19.0, 38833.0)	(20.0, 43118.0)	(21.0, 51328.0)	(22.0, 69352.0)	(23.0, 98715.0)	(24.0, 127784.0)	(25.0, 159204.0)	(26.0, 192005.0)	(27.0, 229703.0)	(28.0, 270744.0)	(29.0, 320829.0)	(30.0, 379839.0)	(31.0, 454759.0)	(32.0, 556261.0)	(33.0, 693451.0)	(34.0, 872896.0)	(35.0, 1125257.0)	(36.0, 1731429.0)	(37.0, 4557040.0)	(38.0, 6574681.0)	(39.0, 2633698.0)
37_CGTACG_L002_R1_combined	(2.0, 368.0)	(3.0, 264.0)	(4.0, 446.0)	(5.0, 708.0)	(6.0, 1290.0)	(7.0, 2470.0)	(8.0, 4726.0)	(9.0, 7020.0)	(10.0, 8839.0)	(11.0, 9843.0)	(12.0, 10152.0)	(13.0, 10414.0)	(14.0, 11321.0)	(15.0, 13003.0)	(16.0, 14801.0)	(17.0, 16677.0)	(18.0, 19279.0)	(19.0, 22069.0)	(20.0, 25354.0)	(21.0, 30157.0)	(22.0, 37214.0)	(23.0, 47962.0)	(24.0, 66239.0)	(25.0, 92912.0)	(26.0, 128464.0)	(27.0, 172903.0)	(28.0, 227254.0)	(29.0, 290542.0)	(30.0, 366700.0)	(31.0, 460065.0)	(32.0, 576108.0)	(33.0, 731349.0)	(34.0, 933167.0)	(35.0, 1215002.0)	(36.0, 1899829.0)	(37.0, 5215305.0)	(38.0, 7984881.0)	(39.0, 3874843.0)
37_CGTACG_L002_R2_combined	(2.0, 165879.0)	(3.0, 41445.0)	(4.0, 28366.0)	(5.0, 25735.0)	(6.0, 24014.0)	(7.0, 24032.0)	(8.0, 23111.0)	(9.0, 24522.0)	(10.0, 26997.0)	(11.0, 28514.0)	(12.0, 29519.0)	(13.0, 31017.0)	(14.0, 31977.0)	(15.0, 34069.0)	(16.0, 36121.0)	(17.0, 38200.0)	(18.0, 40824.0)	(19.0, 44236.0)	(20.0, 49807.0)	(21.0, 58654.0)	(22.0, 79999.0)	(23.0, 112606.0)	(24.0, 146206.0)	(25.0, 181184.0)	(26.0, 219538.0)	(27.0, 260931.0)	(28.0, 307686.0)	(29.0, 363620.0)	(30.0, 429174.0)	(31.0, 513218.0)	(32.0, 623816.0)	(33.0, 776720.0)	(34.0, 974711.0)	(35.0, 1256843.0)	(36.0, 1952768.0)	(37.0, 5209030.0)	(38.0, 7323245.0)	(39.0, 2991606.0)
41_GTCCGC_L001_R1_combined	(2.0, 257.0)	(3.0, 198.0)	(4.0, 261.0)	(5.0, 462.0)	(6.0, 892.0)	(7.0, 2018.0)	(8.0, 3957.0)	(9.0, 6322.0)	(10.0, 9128.0)	(11.0, 10066.0)	(12.0, 10730.0)	(13.0, 11152.0)	(14.0, 12106.0)	(15.0, 13631.0)	(16.0, 15685.0)	(17.0, 17555.0)	(18.0, 20282.0)	(19.0, 22998.0)	(20.0, 26520.0)	(21.0, 31277.0)	(22.0, 37808.0)	(23.0, 48088.0)	(24.0, 64764.0)	(25.0, 89446.0)	(26.0, 123620.0)	(27.0, 163672.0)	(28.0, 214317.0)	(29.0, 274565.0)	(30.0, 348784.0)	(31.0, 439710.0)	(32.0, 555528.0)	(33.0, 707919.0)	(34.0, 903486.0)	(35.0, 1187006.0)	(36.0, 1894481.0)	(37.0, 4838779.0)	(38.0, 6153773.0)	(39.0, 4481050.0)
41_GTCCGC_L001_R2_combined	(2.0, 165472.0)	(3.0, 28163.0)	(4.0, 23733.0)	(5.0, 22951.0)	(6.0, 21817.0)	(7.0, 21436.0)	(8.0, 20758.0)	(9.0, 21926.0)	(10.0, 23827.0)	(11.0, 26050.0)	(12.0, 27464.0)	(13.0, 29127.0)	(14.0, 30972.0)	(15.0, 32047.0)	(16.0, 34280.0)	(17.0, 36154.0)	(18.0, 37950.0)	(19.0, 40671.0)	(20.0, 44316.0)	(21.0, 50864.0)	(22.0, 62720.0)	(23.0, 81493.0)	(24.0, 103575.0)	(25.0, 129612.0)	(26.0, 160050.0)	(27.0, 195425.0)	(28.0, 238183.0)	(29.0, 288833.0)	(30.0, 352959.0)	(31.0, 436283.0)	(32.0, 550724.0)	(33.0, 704076.0)	(34.0, 909213.0)	(35.0, 1209973.0)	(36.0, 1929278.0)	(37.0, 4728423.0)	(38.0, 5889072.0)	(39.0, 4032423.0)
45_CGTACG_L001_R1_combined	(2.0, 262.0)	(3.0, 181.0)	(4.0, 282.0)	(5.0, 484.0)	(6.0, 887.0)	(7.0, 1949.0)	(8.0, 3888.0)	(9.0, 6440.0)	(10.0, 9221.0)	(11.0, 10215.0)	(12.0, 11005.0)	(13.0, 11114.0)	(14.0, 12250.0)	(15.0, 13691.0)	(16.0, 15590.0)	(17.0, 17440.0)	(18.0, 20061.0)	(19.0, 22890.0)	(20.0, 25833.0)	(21.0, 30672.0)	(22.0, 37354.0)	(23.0, 47858.0)	(24.0, 64579.0)	(25.0, 88262.0)	(26.0, 120821.0)	(27.0, 163453.0)	(28.0, 212873.0)	(29.0, 273738.0)	(30.0, 345569.0)	(31.0, 437705.0)	(32.0, 553675.0)	(33.0, 706698.0)	(34.0, 903427.0)	(35.0, 1189965.0)	(36.0, 1918712.0)	(37.0, 5022189.0)	(38.0, 6585767.0)	(39.0, 4825749.0)
45_CGTACG_L001_R2_combined	(2.0, 142468.0)	(3.0, 28702.0)	(4.0, 25360.0)	(5.0, 24489.0)	(6.0, 23999.0)	(7.0, 23427.0)	(8.0, 22912.0)	(9.0, 24454.0)	(10.0, 26696.0)	(11.0, 28792.0)	(12.0, 30495.0)	(13.0, 32537.0)	(14.0, 34225.0)	(15.0, 35842.0)	(16.0, 37370.0)	(17.0, 39267.0)	(18.0, 41329.0)	(19.0, 44163.0)	(20.0, 48306.0)	(21.0, 55472.0)	(22.0, 68900.0)	(23.0, 88663.0)	(24.0, 113020.0)	(25.0, 140787.0)	(26.0, 172609.0)	(27.0, 209654.0)	(28.0, 253830.0)	(29.0, 303960.0)	(30.0, 368495.0)	(31.0, 451569.0)	(32.0, 566170.0)	(33.0, 721021.0)	(34.0, 928437.0)	(35.0, 1235850.0)	(36.0, 1978759.0)	(37.0, 4914748.0)	(38.0, 6143128.0)	(39.0, 4282844.0)
5_ACAGTG_L001_R1_combined	(2.0, 293.0)	(3.0, 155.0)	(4.0, 252.0)	(5.0, 426.0)	(6.0, 708.0)	(7.0, 1567.0)	(8.0, 3364.0)	(9.0, 5433.0)	(10.0, 8528.0)	(11.0, 9235.0)	(12.0, 10284.0)	(13.0, 10487.0)	(14.0, 11220.0)	(15.0, 12864.0)	(16.0, 14920.0)	(17.0, 16753.0)	(18.0, 19190.0)	(19.0, 21593.0)	(20.0, 24941.0)	(21.0, 29353.0)	(22.0, 35692.0)	(23.0, 45814.0)	(24.0, 61864.0)	(25.0, 84979.0)	(26.0, 116572.0)	(27.0, 157337.0)	(28.0, 207010.0)	(29.0, 265877.0)	(30.0, 337968.0)	(31.0, 427535.0)	(32.0, 540438.0)	(33.0, 691744.0)	(34.0, 895093.0)	(35.0, 1181874.0)	(36.0, 1803423.0)	(37.0, 4352433.0)	(38.0, 8219185.0)	(39.0, 5157475.0)
5_ACAGTG_L001_R2_combined	(2.0, 133836.0)	(3.0, 23532.0)	(4.0, 20297.0)	(5.0, 19277.0)	(6.0, 18095.0)	(7.0, 17469.0)	(8.0, 16744.0)	(9.0, 17468.0)	(10.0, 19531.0)	(11.0, 21083.0)	(12.0, 22705.0)	(13.0, 24758.0)	(14.0, 26367.0)	(15.0, 27976.0)	(16.0, 30147.0)	(17.0, 32124.0)	(18.0, 34367.0)	(19.0, 36516.0)	(20.0, 40777.0)	(21.0, 46581.0)	(22.0, 57903.0)	(23.0, 75836.0)	(24.0, 95575.0)	(25.0, 120352.0)	(26.0, 149472.0)	(27.0, 182139.0)	(28.0, 222155.0)	(29.0, 272187.0)	(30.0, 333351.0)	(31.0, 413915.0)	(32.0, 522219.0)	(33.0, 676642.0)	(34.0, 889885.0)	(35.0, 1192950.0)	(36.0, 1816817.0)	(37.0, 4466825.0)	(38.0, 7928935.0)	(39.0, 4737071.0)
9_GATCAG_L001_R1_combined	(2.0, 225.0)	(3.0, 151.0)	(4.0, 203.0)	(5.0, 290.0)	(6.0, 574.0)	(7.0, 1359.0)	(8.0, 2754.0)	(9.0, 4725.0)	(10.0, 7190.0)	(11.0, 8216.0)	(12.0, 8978.0)	(13.0, 9032.0)	(14.0, 9990.0)	(15.0, 11104.0)	(16.0, 12738.0)	(17.0, 14407.0)	(18.0, 16407.0)	(19.0, 18840.0)	(20.0, 21178.0)	(21.0, 25500.0)	(22.0, 30943.0)	(23.0, 39257.0)	(24.0, 52324.0)	(25.0, 71221.0)	(26.0, 97785.0)	(27.0, 130648.0)	(28.0, 170851.0)	(29.0, 218273.0)	(30.0, 277770.0)	(31.0, 353279.0)	(32.0, 445762.0)	(33.0, 570497.0)	(34.0, 739100.0)	(35.0, 980408.0)	(36.0, 1520386.0)	(37.0, 3777415.0)	(38.0, 6493480.0)	(39.0, 3827641.0)
9_GATCAG_L001_R2_combined	(2.0, 142727.0)	(3.0, 22764.0)	(4.0, 19035.0)	(5.0, 17376.0)	(6.0, 16651.0)	(7.0, 16150.0)	(8.0, 15344.0)	(9.0, 16240.0)	(10.0, 18186.0)	(11.0, 19558.0)	(12.0, 20541.0)	(13.0, 22146.0)	(14.0, 24094.0)	(15.0, 25204.0)	(16.0, 26741.0)	(17.0, 28243.0)	(18.0, 29951.0)	(19.0, 32244.0)	(20.0, 34971.0)	(21.0, 40066.0)	(22.0, 50059.0)	(23.0, 64117.0)	(24.0, 81170.0)	(25.0, 101130.0)	(26.0, 124711.0)	(27.0, 152084.0)	(28.0, 184339.0)	(29.0, 223954.0)	(30.0, 273190.0)	(31.0, 340716.0)	(32.0, 429852.0)	(33.0, 555001.0)	(34.0, 730516.0)	(35.0, 977419.0)	(36.0, 1512924.0)	(37.0, 3805881.0)	(38.0, 6253609.0)	(39.0, 3521997.0)
